forecast_date,state,electoral_vote,party,win,p_10,proj_vote,p_90,tipping_point,poll_avg,fund_avg,ss_avg,experts_avg,poll_weight,fund_weight,ss_weight,experts_weight
01/01/20,Massachusetts,11,dem,99.656,53.097,62.354,71.611,0.006,0.000,63.497,61.045,60.701,0,75,15,40
01/01/20,Massachusetts,11,third,0.000,1.990,5.528,9.066,0.006,0.000,5.105,6.105,6.105,0,75,15,40
01/01/20,Michigan,16,gop,32.320,37.728,46.178,54.628,9.864,45.008,46.428,45.493,46.740,26.447491408842044,75,15,40
01/01/20,Michigan,16,dem,67.680,42.417,50.866,59.316,9.864,51.557,51.137,51.072,49.824,26.447491408842044,75,15,40
01/01/20,Michigan,16,third,0.000,1.064,2.956,4.847,9.864,3.435,2.435,3.435,3.435,26.447491408842044,75,15,40
01/01/20,Minnesota,10,gop,24.054,35.444,43.997,52.550,5.002,41.370,44.290,44.099,43.583,2.628998968977747,75,15,40
01/01/20,Minnesota,10,dem,75.946,42.544,51.097,59.651,5.002,53.159,51.239,50.430,50.947,2.628998968977747,75,15,40
01/01/20,Minnesota,10,third,0.000,1.766,4.905,8.045,5.002,5.471,4.471,5.471,5.471,2.628998968977747,75,15,40
01/01/20,Mississippi,6,gop,96.978,49.615,57.600,65.585,0.008,0.000,56.945,57.530,58.855,0,75,15,40
01/01/20,Mississippi,6,dem,3.022,32.410,40.395,48.381,0.008,0.000,41.474,39.889,38.563,0,75,15,40
01/01/20,Mississippi,6,third,0.000,0.722,2.004,3.287,0.008,0.000,1.581,2.581,2.581,0,75,15,40
01/01/20,Missouri,10,gop,95.992,48.845,56.983,65.121,0.004,52.858,56.403,56.894,58.188,0.8271825824720422,75,15,40
01/01/20,Missouri,10,dem,4.008,32.548,40.686,48.825,0.004,44.238,41.693,40.203,38.908,0.8271825824720422,75,15,40
01/01/20,Missouri,10,third,0.000,0.839,2.331,3.822,0.004,2.904,1.904,2.904,2.904,0.8271825824720422,75,15,40
01/01/20,Montana,3,gop,94.226,45.833,54.647,63.462,0.004,0.000,54.019,53.285,56.336,0,75,15,40
01/01/20,Montana,3,dem,5.774,30.243,39.057,47.872,0.004,0.000,40.108,39.843,36.792,0,75,15,40
01/01/20,Montana,3,third,0.000,2.266,6.295,10.324,0.004,0.000,5.872,6.872,6.872,0,75,15,40
01/01/20,Nebraska,2,gop,99.480,52.158,60.640,69.123,0.000,0.000,60.392,59.322,61.600,0,75,15,40
01/01/20,Nebraska,2,dem,0.520,26.857,35.340,43.823,0.000,0.000,36.011,36.081,33.804,0,75,15,40
01/01/20,Nebraska,2,third,0.000,1.447,4.019,6.592,0.000,0.000,3.596,4.596,4.596,0,75,15,40
01/01/20,Nevada,6,gop,31.020,36.431,45.062,53.694,3.008,46.055,45.297,43.310,44.871,16.502370082880976,75,15,40
01/01/20,Nevada,6,dem,68.980,41.531,50.162,58.794,3.008,48.658,50.416,51.403,49.843,16.502370082880976,75,15,40
01/01/20,Nevada,6,third,0.000,1.719,4.775,7.831,3.008,5.287,4.287,5.287,5.287,16.502370082880976,75,15,40
01/01/20,New Hampshire,4,gop,32.006,36.425,45.547,54.670,1.944,45.636,45.543,45.027,45.731,9.017419996633073,75,15,40
01/01/20,New Hampshire,4,dem,67.994,41.644,50.767,59.889,1.944,50.139,51.232,50.747,50.043,9.017419996633073,75,15,40
01/01/20,New Hampshire,4,third,0.000,1.327,3.686,6.045,1.944,4.225,3.225,4.225,4.225,9.017419996633073,75,15,40
01/01/20,New Jersey,14,gop,3.208,30.871,39.353,47.836,0.092,0.000,39.639,40.626,38.340,0,75,15,40
01/01/20,New Jersey,14,dem,96.792,49.349,57.831,66.314,0.092,0.000,57.968,55.982,58.268,0,75,15,40
01/01/20,New Jersey,14,third,0.000,1.014,2.815,4.617,0.092,0.000,2.392,3.392,3.392,0,75,15,40
01/01/20,New Mexico,5,gop,7.056,31.832,40.370,48.908,0.178,0.000,40.829,39.088,39.990,0,75,15,40
01/01/20,New Mexico,5,dem,92.944,46.526,55.064,63.602,0.178,0.000,55.028,55.769,54.866,0,75,15,40
01/01/20,New Mexico,5,third,0.000,1.644,4.566,7.488,0.178,0.000,4.143,5.143,5.143,0,75,15,40
01/01/20,New York,29,gop,0.436,26.436,34.698,42.960,0.004,0.000,34.152,35.156,35.550,0,75,15,40
01/01/20,New York,29,dem,99.564,52.581,60.842,69.104,0.004,0.000,61.811,59.807,59.414,0,75,15,40
01/01/20,New York,29,third,0.000,1.605,4.460,7.314,0.004,0.000,4.036,5.036,5.036,0,75,15,40
01/01/20,North Carolina,15,gop,51.988,41.553,49.392,57.232,9.586,48.221,49.741,49.325,49.826,36.27963033313574,75,15,40
01/01/20,North Carolina,15,dem,48.012,41.220,49.060,56.899,9.586,49.780,49.260,48.676,48.174,36.27963033313574,75,15,40
01/01/20,North Carolina,15,third,0.000,0.557,1.548,2.539,9.586,1.999,0.999,1.999,1.999,36.27963033313574,75,15,40
01/01/20,North Dakota,3,gop,99.954,54.767,63.070,71.372,0.000,59.294,62.819,62.406,63.875,0.9176043666906432,75,15,40
01/01/20,North Dakota,3,dem,0.046,23.298,31.601,39.903,0.000,34.803,32.278,31.692,30.223,0.9176043666906432,75,15,40
01/01/20,North Dakota,3,third,0.000,1.919,5.330,8.741,0.000,5.903,4.903,5.903,5.903,0.9176043666906432,75,15,40
01/01/20,Ohio,18,gop,68.644,42.203,50.622,59.041,4.034,45.769,50.784,49.841,51.574,7.946995448163781,75,15,40
01/01/20,Ohio,18,dem,31.356,37.531,45.950,54.369,4.034,50.259,46.244,46.187,44.454,7.946995448163781,75,15,40
01/01/20,Ohio,18,third,0.000,1.234,3.428,5.622,4.034,3.972,2.972,3.972,3.972,7.946995448163781,75,15,40
01/01/20,Oklahoma,7,gop,99.978,58.033,66.128,74.224,0.000,0.000,65.593,65.099,67.518,0,75,15,40
01/01/20,Oklahoma,7,dem,0.022,24.158,32.253,40.349,0.000,0.000,33.212,32.706,30.286,0,75,15,40
01/01/20,Oklahoma,7,third,0.000,0.583,1.618,2.654,0.000,0.000,1.195,2.195,2.195,0,75,15,40
01/01/20,Oregon,7,gop,5.062,30.463,38.891,47.318,0.104,0.000,39.327,38.405,38.255,0,75,15,40
01/01/20,Oregon,7,dem,94.938,46.672,55.100,63.527,0.104,0.000,55.086,55.009,55.159,0,75,15,40
01/01/20,Oregon,7,third,0.000,2.163,6.009,9.855,0.104,0.000,5.586,6.586,6.586,0,75,15,40
