date,state,margin
03/30/20,Alaska,9.598802416
03/31/20,Alaska,9.606747303
04/01/20,Alaska,9.616658589
04/02/20,Alaska,9.62299353
04/03/20,Alaska,9.634128436
04/04/20,Alaska,9.639827566
04/05/20,Alaska,9.648393121
04/06/20,Alaska,9.652860792
04/07/20,Alaska,9.657257668
04/08/20,Alaska,9.661171752
04/09/20,Alaska,9.666142529
04/10/20,Alaska,9.667559609
04/11/20,Alaska,9.67096511
04/12/20,Alaska,9.677995167
04/13/20,Alaska,9.684952588
04/14/20,Alaska,9.690370846
04/15/20,Alaska,9.695773881
04/16/20,Alaska,9.699264177
04/17/20,Alaska,9.703976148
04/18/20,Alaska,9.708237066
04/19/20,Alaska,9.712442917
04/20/20,Alaska,9.72219198
04/21/20,Alaska,9.726385692
04/22/20,Alaska,9.732855141
04/23/20,Alaska,9.734484336
04/24/20,Alaska,9.732427527
04/25/20,Alaska,9.737639184
04/26/20,Alaska,9.745379584
04/27/20,Alaska,9.748472628
04/28/20,Alaska,9.753545456
04/29/20,Alaska,9.756134783
04/30/20,Alaska,9.758162265
05/01/20,Alaska,9.761740526
05/02/20,Alaska,9.763097412
05/03/20,Alaska,9.765382043
05/04/20,Alaska,9.765991369
05/05/20,Alaska,9.769559509
05/06/20,Alaska,9.772541757
05/07/20,Alaska,9.774639576
05/08/20,Alaska,9.78013681
05/09/20,Alaska,9.786657802
05/10/20,Alaska,9.788004396
05/11/20,Alaska,9.787269788
05/12/20,Alaska,9.79184907
05/13/20,Alaska,9.791944896
05/14/20,Alaska,9.792489664
05/15/20,Alaska,9.8018002
05/16/20,Alaska,9.804676949
05/17/20,Alaska,9.81062327
05/18/20,Alaska,9.813392518
05/19/20,Alaska,9.820853594
05/20/20,Alaska,9.823553458
05/21/20,Alaska,9.823663062
05/22/20,Alaska,9.824654136
05/23/20,Alaska,9.826768114
05/24/20,Alaska,9.824874944
05/25/20,Alaska,9.825302848
05/26/20,Alaska,9.827847629
05/27/20,Alaska,9.82774527
05/28/20,Alaska,9.827486834
05/29/20,Alaska,9.829506081
05/30/20,Alaska,9.832093478
05/31/20,Alaska,9.832743486
06/01/20,Alaska,9.83407696
06/02/20,Alaska,9.834040185
06/03/20,Alaska,9.834885765
06/04/20,Alaska,9.834979934
06/05/20,Alaska,9.833973711
06/06/20,Alaska,9.835868026
06/07/20,Alaska,9.839459566
06/08/20,Alaska,9.838436881
06/09/20,Alaska,9.836359292
06/10/20,Alaska,9.836985311
06/11/20,Alaska,9.83814573
06/12/20,Alaska,9.838679374
06/13/20,Alaska,9.839163596
06/14/20,Alaska,9.840357867
06/15/20,Alaska,9.839292771
06/16/20,Alaska,9.840112574
06/17/20,Alaska,9.842312138
06/18/20,Alaska,9.841710532
06/19/20,Alaska,9.845379843
06/20/20,Alaska,9.84544802
06/21/20,Alaska,9.846835636
06/22/20,Alaska,9.847311454
06/23/20,Alaska,9.846434887
06/24/20,Alaska,9.84328724
06/25/20,Alaska,9.828810232
06/26/20,Alaska,9.820350337
06/27/20,Alaska,9.817682871
06/28/20,Alaska,9.817687213
06/29/20,Alaska,9.808040913
06/30/20,Alaska,9.800414633
07/01/20,Alaska,9.800170932
07/02/20,Alaska,9.830615234
07/03/20,Alaska,9.827845985
07/04/20,Alaska,9.831292646
07/05/20,Alaska,9.833914026
07/06/20,Alaska,9.837756563
07/07/20,Alaska,9.839950712
07/08/20,Alaska,9.843188043
07/09/20,Alaska,9.844945608
07/10/20,Alaska,9.808885817
07/11/20,Alaska,9.805832774
07/12/20,Alaska,9.808656925
07/13/20,Alaska,9.865936984
07/14/20,Alaska,9.891454078
07/15/20,Alaska,9.901681261
07/16/20,Alaska,9.909817835
07/17/20,Alaska,9.91685939
07/18/20,Alaska,9.923456148
07/19/20,Alaska,9.925494218
07/20/20,Alaska,9.929845022
07/21/20,Alaska,9.932822545
07/22/20,Alaska,9.940424083
07/23/20,Alaska,9.941923608
07/24/20,Alaska,9.948930005
07/25/20,Alaska,9.950927485
07/26/20,Alaska,9.952572959
07/27/20,Alaska,9.9492028
07/28/20,Alaska,9.949559828
07/29/20,Alaska,9.946843805
07/30/20,Alaska,9.943664407
07/31/20,Alaska,9.937565349
08/01/20,Alaska,9.934653588
08/02/20,Alaska,9.932808624
08/03/20,Alaska,9.932921839
08/04/20,Alaska,9.930711272
08/05/20,Alaska,9.93027666
08/06/20,Alaska,9.928695562
08/07/20,Alaska,9.927162094
08/08/20,Alaska,9.92932779
08/09/20,Alaska,9.926468832
08/10/20,Alaska,9.928790391
08/11/20,Alaska,9.930629619
08/12/20,Alaska,9.930373659
08/13/20,Alaska,9.930191242
08/14/20,Alaska,9.929583533
08/15/20,Alaska,9.931778587
08/16/20,Alaska,9.932842928
08/17/20,Alaska,9.935097124
08/18/20,Alaska,9.934167582
08/19/20,Alaska,9.934807983
08/20/20,Alaska,9.936651272
08/21/20,Alaska,9.936050107
08/22/20,Alaska,9.936669851
08/23/20,Alaska,9.939376705
08/24/20,Alaska,9.940433925
08/25/20,Alaska,9.937187269
08/26/20,Alaska,9.936899238
08/27/20,Alaska,9.937309752
08/28/20,Alaska,9.938754403
08/29/20,Alaska,9.939286495
08/30/20,Alaska,9.942111903
08/31/20,Alaska,9.941344747
09/01/20,Alaska,9.940458553
09/02/20,Alaska,9.941584983
09/03/20,Alaska,9.940910843
09/04/20,Alaska,9.943713932
09/05/20,Alaska,9.943598828
09/06/20,Alaska,9.943855829
09/07/20,Alaska,9.943668421
09/08/20,Alaska,9.945114819
09/09/20,Alaska,9.946927483
09/10/20,Alaska,9.946200761
09/11/20,Alaska,9.946925038
09/12/20,Alaska,9.94550894
09/13/20,Alaska,9.949268499
09/14/20,Alaska,9.949606956
09/15/20,Alaska,9.950565833
09/16/20,Alaska,9.951202514
09/17/20,Alaska,9.952853054
09/18/20,Alaska,9.952481402
09/19/20,Alaska,9.951386961
09/20/20,Alaska,9.950800806
09/21/20,Alaska,9.950594738
09/22/20,Alaska,9.949275434
09/23/20,Alaska,9.950029444
09/24/20,Alaska,9.952587087
09/25/20,Alaska,9.955227714
09/26/20,Alaska,9.954829937
09/27/20,Alaska,9.952138447
09/28/20,Alaska,9.951925978
09/29/20,Alaska,9.951121395
09/30/20,Alaska,9.950287133
10/01/20,Alaska,9.95070094
10/02/20,Alaska,9.948320192
10/03/20,Alaska,9.947594209
10/04/20,Alaska,9.947810107
10/05/20,Alaska,9.947007394
10/06/20,Alaska,9.94692488
10/07/20,Alaska,9.946668366
10/08/20,Alaska,9.944481416
10/09/20,Alaska,9.942459839
10/10/20,Alaska,9.94062689
10/11/20,Alaska,9.93965471
10/12/20,Alaska,9.940729466
10/13/20,Alaska,9.93855318
10/14/20,Alaska,9.93821953
10/15/20,Alaska,9.938270293
10/16/20,Alaska,9.935833897
10/17/20,Alaska,9.932986586
10/18/20,Alaska,9.933813333
10/19/20,Alaska,9.933008739
10/20/20,Alaska,9.932204592
10/21/20,Alaska,9.934007077
10/22/20,Alaska,9.933850303
10/23/20,Alaska,9.934879726
10/24/20,Alaska,9.931377216
10/25/20,Alaska,9.934009683
10/26/20,Alaska,9.934364881
10/27/20,Alaska,9.935827682
10/28/20,Alaska,9.938290085
10/29/20,Alaska,9.939125529
10/30/20,Alaska,9.939395538
10/31/20,Alaska,9.941020617
11/01/20,Alaska,9.942429424
11/02/20,Alaska,9.941532964
11/03/20,Alaska,9.942526774
11/04/20,Alaska,9.942908535
11/05/20,Alaska,9.94448319
11/06/20,Alaska,9.944936499
11/07/20,Alaska,9.944540076
11/08/20,Alaska,9.944280144
03/01/20,Arizona,2.446216218
03/02/20,Arizona,2.439330974
03/03/20,Arizona,2.434750887
03/04/20,Arizona,2.429255965
03/05/20,Arizona,2.424873239
03/06/20,Arizona,2.412252943
03/07/20,Arizona,2.409592826
03/08/20,Arizona,2.405561885
03/09/20,Arizona,2.401702278
03/10/20,Arizona,2.401734078
03/11/20,Arizona,2.401934618
03/12/20,Arizona,2.402927208
03/13/20,Arizona,2.399057303
03/14/20,Arizona,2.397496151
03/15/20,Arizona,2.393462672
03/16/20,Arizona,2.391226791
03/17/20,Arizona,2.391763105
03/18/20,Arizona,2.391172196
03/19/20,Arizona,2.390510462
03/20/20,Arizona,2.385770322
03/21/20,Arizona,2.379657307
03/22/20,Arizona,2.370778674
03/23/20,Arizona,2.36639311
03/24/20,Arizona,2.359250511
03/25/20,Arizona,2.357469582
03/26/20,Arizona,2.356927408
03/27/20,Arizona,2.35460393
03/28/20,Arizona,2.353348984
03/29/20,Arizona,2.350121902
03/30/20,Arizona,2.349092285
03/31/20,Arizona,2.348132196
04/01/20,Arizona,2.348050163
04/02/20,Arizona,2.346833414
04/03/20,Arizona,2.347507242
04/04/20,Arizona,2.346345561
