today,state,primary_date,total_delegates,Bidenproj,Bloombergproj,Buttigiegproj,Klobucharproj,Sandersproj,Steyerproj,Warrenproj,Yangproj,voteperc,dateindex,bi,bl,bu,kl,sa,st,wa,ya,abbrev,radius,xValue,yValue
2020-01-31,Maine,2020-03-03,24,12.103713161380766,19.037260655107893,15.865989079912222,5.105610077605934,31.64074513328225,2.9133547591662112,13.33332713354474,0.0,0.0053510222586281506,43861Maine,1,6,5,0,10,0,2,0,ME,10.954451150103322,628.0,26.0
2020-01-31,Massachusetts,2020-03-03,91,12.544435422796068,14.484987406920705,15.50718231951749,7.891206841060552,27.433135564311765,2.6218051321754516,19.517247313217958,0.0,0.02984426518603394,43861Massachusetts,5,8,19,0,34,0,24,0,MA,18.16590212458495,607.0,89.0
2020-01-31,Minnesota,2020-03-03,75,10.123840725018516,9.77306531683196,10.070205338488558,28.508926960072507,27.38611516537069,0.7662977572998344,13.371548736917926,0.0,0.020458215992947334,43861Minnesota,1,1,1,34,33,0,5,0,MN,17.320508075688775,304.0,142.0
2020-01-31,North Carolina,2020-03-03,110,21.69291476629138,23.152705524471255,10.997903382431346,5.6758796641847855,26.53308556927243,2.9190441452511635,9.028466948097648,0.0,0.03274792415383104,43861North Carolina,33,35,3,0,40,0,0,0,NC,21.213203435596427,499.0,278.0
2020-01-31,Oklahoma,2020-03-03,37,23.729600917667145,24.013387535115097,11.484190030104083,6.954306942836689,23.05678147135642,1.6048927686341485,9.156840334286423,0.0,0.006287995253388147,43861Oklahoma,12,12,1,0,12,0,0,0,OK,14.491376746189438,270.0,294.0
2020-01-31,Tennessee,2020-03-03,64,30.357616837947038,20.514213708001357,8.048381873507223,5.08656911647955,23.35664224702857,2.280843772783039,10.35573244425322,0.0,0.013023909669102093,43861Tennessee,26,17,0,0,20,0,1,0,TN,18.16590212458495,379.0,284.0
2020-01-31,Texas,2020-03-03,228,21.7603827253341,18.804236196710793,10.32098168267049,6.27462573727044,27.7157303661541,1.7851522177862167,13.338891074073855,0.0,0.05800538941960342,43861Texas,67,58,4,0,85,0,15,0,TX,33.76388603226827,271.0,355.0
2020-01-31,Utah,2020-03-03,29,10.408293720342272,19.256060659913786,13.980726556353126,4.968269014551072,35.246388429635935,2.054688575765687,14.085573043438105,0.0,0.004647080909547688,43861Utah,1,8,2,0,16,0,2,0,UT,13.416407864998739,204.0,218.0
2020-01-31,Vermont,2020-03-03,16,7.358550877693884,12.301682458903045,11.429811004306579,3.8491632178997657,53.18974465428696,1.7799571271311796,10.09109065977859,0.0,0.0026711059800970122,43861Vermont,0,0,0,0,16,0,0,0,VT,9.486832980505138,585.0,47.0
2020-01-31,Virginia,2020-03-03,99,20.838575796909105,22.729397402618797,11.61863211607577,7.293528581828182,26.783686858355647,0.9548220438485439,9.781357200363958,0.0,0.02963899570316211,43861Virginia,28,30,4,0,36,0,1,0,VA,19.748417658131498,508.0,229.0
