state,cand,vote,delegates,label,xValue,yValue
South Carolina,Klobuchar,5.2,0,SC,712.4395,315.6387
South Dakota,Klobuchar,7.6,0,SD,468.0742,163.5166
Tennessee,Klobuchar,5.1,0,TN,640.8594,294.8193
Texas,Klobuchar,6.3,0,TX,480.9902,374.2861
Utah,Klobuchar,5.2,0,UT,330.1084,234.978
Vermont,Klobuchar,3.9,0,VT,-1000.0,-1000.0
Virginia,Klobuchar,7.8,0,VA,731.0264,252.7842
Washington,Klobuchar,8.2,0,WA,256.9365,88.0762
West Virginia,Klobuchar,5.9,0,WV,701.0,243.0
Wisconsin,Klobuchar,8.8,0,WI,585.2529,163.2588
Wyoming,Klobuchar,4.3,0,WY,385.9287,179.6255
District of Columbia,Klobuchar,4.0,0,DC,-1000.0,-1000.0
Alabama,Sanders,21.7,15,AL,637.0,338.6934
Alaska,Sanders,30.2,8,AK,245.0,400.0
Arizona,Sanders,31.5,33,AZ,315.0,306.5801
Arkansas,Sanders,23.1,10,AR,560.0,315.6387
California,Sanders,33.9,190,CA,223.0,253.9219
Colorado,Sanders,35.6,36,CO,400.0,245.5645
Connecticut,Sanders,30.1,21,CT,-1000.0,-1000.0
Delaware,Sanders,25.1,7,DE,-1000.0,-1000.0
Florida,Sanders,19.7,58,FL,714.0,397.8154
Georgia,Sanders,24.5,33,GA,680.0117,335.2354
Hawaii,Sanders,35.1,12,HI,380.0,465.0
Idaho,Sanders,36.0,10,ID,310.1851,155.0
Illinois,Sanders,29.7,63,IL,596.6602,231.2954
Indiana,Sanders,28.3,31,IN,633.4111,228.4214
Iowa,Sanders,26.1,12,IA,545.8457,202.6782
Kansas,Sanders,33.9,18,KS,487.0,259.1592
Kentucky,Sanders,30.0,22,KY,655.1484,264.9658
Louisiana,Sanders,21.6,15,LA,561.4404,369.8135
Maine,Sanders,31.6,10,ME,807.3105,109.855
Maryland,Sanders,28.5,36,MD,-1000.0,-1000.0
Massachusetts,Sanders,26.5,33,MA,-1000.0,-1000.0
Michigan,Sanders,31.1,53,MI,645.6465,181.3647
Minnesota,Sanders,27.3,33,MN,530.8594,141.5874
Mississippi,Sanders,20.7,9,MS,598.6016,342.1514
Missouri,Sanders,19.2,18,MO,557.0,261.123
Montana,Sanders,31.1,9,MT,370.0981,112.7705
Nebraska,Sanders,33.0,12,NE,473.8364,210.0527
Nevada,Sanders,34.0,24,NV,267.8765,219.0957
New Hampshire,Sanders,25.9,9,NH,-1000.0,-1000.0
New Jersey,Sanders,30.4,50,NJ,785.0,210.0
New Mexico,Sanders,36.8,17,NM,385.3774,314.1035
New York,Sanders,27.3,101,NY,753.5781,163.2588
North Carolina,Sanders,26.4,40,NC,728.6084,284.5029
North Dakota,Sanders,32.7,7,ND,467.0742,117.3823
Ohio,Sanders,29.7,54,OH,670.7197,219.4883
Oklahoma,Sanders,23.0,12,OK,500.1963,306.418
Oregon,Sanders,32.3,30,OR,240.2783,139.5654
Pennsylvania,Sanders,28.9,72,PA,730.3535,200.856
Rhode Island,Sanders,30.3,9,RI,-1000.0,-1000.0
South Carolina,Sanders,23.6,17,SC,712.4395,315.6387
South Dakota,Sanders,32.8,7,SD,468.0742,163.5166
Tennessee,Sanders,23.4,20,TN,640.8594,294.8193
Texas,Sanders,27.5,84,TX,480.9902,374.2861
Utah,Sanders,37.1,17,UT,330.1084,234.978
Vermont,Sanders,53.2,16,VT,-1000.0,-1000.0
Virginia,Sanders,27.2,36,VA,731.0264,252.7842
Washington,Sanders,32.8,46,WA,256.9365,88.0762
West Virginia,Sanders,30.3,11,WV,701.0,243.0
Wisconsin,Sanders,32.8,44,WI,585.2529,163.2588
Wyoming,Sanders,32.0,8,WY,385.9287,179.6255
District of Columbia,Sanders,22.9,6,DC,-1000.0,-1000.0
Alabama,Steyer,2.3,0,AL,637.0,338.6934
Alaska,Steyer,3.2,0,AK,245.0,400.0
Arizona,Steyer,2.7,0,AZ,315.0,306.5801
Arkansas,Steyer,2.2,0,AR,560.0,315.6387
California,Steyer,3.3,0,CA,223.0,253.9219
Colorado,Steyer,1.5,0,CO,400.0,245.5645
Connecticut,Steyer,3.3,0,CT,-1000.0,-1000.0
Delaware,Steyer,2.5,0,DE,-1000.0,-1000.0
Florida,Steyer,1.7,0,FL,714.0,397.8154
Georgia,Steyer,2.2,0,GA,680.0117,335.2354
Hawaii,Steyer,3.7,0,HI,380.0,465.0
Idaho,Steyer,3.3,0,ID,310.1851,155.0
Illinois,Steyer,2.3,0,IL,596.6602,231.2954
Indiana,Steyer,1.1,0,IN,633.4111,228.4214
Iowa,Steyer,0.0,0,IA,545.8457,202.6782
Kansas,Steyer,1.1,0,KS,487.0,259.1592
Kentucky,Steyer,2.3,0,KY,655.1484,264.9658
Louisiana,Steyer,2.3,0,LA,561.4404,369.8135
Maine,Steyer,2.9,0,ME,807.3105,109.855
Maryland,Steyer,2.4,0,MD,-1000.0,-1000.0
Massachusetts,Steyer,2.6,0,MA,-1000.0,-1000.0
Michigan,Steyer,1.6,0,MI,645.6465,181.3647
Minnesota,Steyer,0.8,0,MN,530.8594,141.5874
Mississippi,Steyer,2.4,0,MS,598.6016,342.1514
Missouri,Steyer,1.7,0,MO,557.0,261.123
Montana,Steyer,3.4,0,MT,370.0981,112.7705
Nebraska,Steyer,1.1,0,NE,473.8364,210.0527
Nevada,Steyer,9.0,0,NV,267.8765,219.0957
New Hampshire,Steyer,3.6,0,NH,-1000.0,-1000.0
New Jersey,Steyer,2.3,0,NJ,785.0,210.0
