state,cand,vote,delegates,radius,xValue,yValue,abbrev
North Dakota,Buttigieg,14.4,0,0.0,257,136,ND
Ohio,Buttigieg,13.2,9,6.413919994074849,459,191,OH
Oklahoma,Buttigieg,11.2,1,2.1379733313582827,270,294,OK
Oregon,Buttigieg,11.0,2,3.023550881198871,124,176,OR
Pennsylvania,Buttigieg,13.1,12,7.406156870279673,498,132,PA
Rhode Island,Buttigieg,12.9,2,3.023550881198871,619,126,RI
South Carolina,Buttigieg,9.9,1,2.1379733313582827,487,322,SC
South Dakota,Buttigieg,14.8,1,2.1379733313582827,257,167,SD
Tennessee,Buttigieg,7.9,0,0.0,379,284,TN
Texas,Buttigieg,10.0,3,3.7030784351398367,271,355,TX
Utah,Buttigieg,10.8,1,2.1379733313582827,204,218,UT
Vermont,Buttigieg,11.3,0,0.0,585,47,VT
Virginia,Buttigieg,11.5,4,4.275946662716565,508,229,VA
Washington,Buttigieg,11.8,4,4.275946662716565,154,131,WA
West Virginia,Buttigieg,8.8,0,0.0,451,242,WV
Wisconsin,Buttigieg,14.1,7,5.656545744462307,359,146,WI
Wyoming,Buttigieg,10.2,0,0.0,214,177,WY
District of Columbia,Buttigieg,5.0,0,0.0,536,193,DC
Alabama,Klobuchar,4.4,0,0.0,413,332,AL
Alaska,Klobuchar,4.3,0,0.0,41,19,AK
Arizona,Klobuchar,4.5,0,0.0,172,282,AZ
Arkansas,Klobuchar,5.5,0,0.0,325,290,AR
California,Klobuchar,5.5,0,0.0,103,237,CA
Colorado,Klobuchar,5.2,0,0.0,224,249,CO
Connecticut,Klobuchar,4.1,0,0.0,586,128,CT
Delaware,Klobuchar,3.7,0,0.0,557,183,DE
Florida,Klobuchar,6.2,0,0.0,483,380,FL
Georgia,Klobuchar,4.8,0,0.0,443,298,GA
Hawaii,Klobuchar,4.1,0,0.0,88,372,HI
Idaho,Klobuchar,4.3,0,0.0,188,173,ID
Illinois,Klobuchar,7.4,0,0.0,359,207,IL
Indiana,Klobuchar,6.8,0,0.0,413,207,IN
Iowa,Klobuchar,12.3,1,2.1379733313582827,306,195,IA
Kansas,Klobuchar,7.2,0,0.0,266,248,KS
Kentucky,Klobuchar,5.1,0,0.0,411,251,KY
Louisiana,Klobuchar,4.3,0,0.0,326,335,LA
Maine,Klobuchar,4.9,0,0.0,628,26,ME
Maryland,Klobuchar,4.4,0,0.0,505,185,MD
Massachusetts,Klobuchar,8.1,0,0.0,607,89,MA
Michigan,Klobuchar,6.9,0,0.0,418,149,MI
