date,dataPoint,candidate,percentage,Unnamed: 4
2019-06-01,25,Bloomberg,0.0,
2019-06-01,27,Bloomberg,1.7,
2019-06-01,29,Bloomberg,3.2,
2019-06-01,31,Bloomberg,1.8,
2019-06-01,33,Bloomberg,1.7,
2019-06-01,35,Bloomberg,3.1,
2019-06-01,37,Bloomberg,0.0,
2019-06-01,39,Bloomberg,1.0,
2019-06-01,41,Bloomberg,2.7,
2019-06-01,43,Bloomberg,0.0,
2019-06-01,45,Bloomberg,1.2,
2019-06-01,47,Bloomberg,1.5,
2019-06-01,49,Bloomberg,2.6,
2019-06-01,51,Bloomberg,0.0,
2019-06-01,53,Bloomberg,0.8,
2019-06-01,55,Bloomberg,0.0,
2019-06-01,57,Bloomberg,2.0,
2019-06-01,59,Bloomberg,0.2,
2019-06-01,61,Bloomberg,0.0,
2019-06-01,63,Bloomberg,1.1,
2019-06-01,65,Bloomberg,0.8,
2019-06-01,67,Bloomberg,3.9,
2019-06-01,69,Bloomberg,0.0,
2019-06-01,71,Bloomberg,2.1,
2019-06-01,73,Bloomberg,4.1,
2019-06-01,75,Bloomberg,0.0,
2019-06-01,77,Bloomberg,0.0,
2019-06-01,79,Bloomberg,0.2,
2019-06-01,81,Bloomberg,0.0,
2019-06-01,83,Bloomberg,13.8,
2019-06-01,85,Bloomberg,0.0,
2019-06-01,87,Bloomberg,0.0,
2019-06-01,89,Bloomberg,0.8,
2019-06-01,91,Bloomberg,2.8,
2019-06-01,93,Bloomberg,0.2,
2019-06-01,95,Bloomberg,2.1,
2019-06-01,97,Bloomberg,2.0,
2019-06-01,99,Bloomberg,2.5,
2019-06-01,101,Bloomberg,0.0,
2019-06-01,103,Bloomberg,0.0,
2019-06-01,105,Bloomberg,4.5,
2019-06-01,107,Bloomberg,0.0,
2019-06-01,109,Bloomberg,0.0,
2019-06-01,111,Bloomberg,4.8,
2019-06-01,113,Bloomberg,0.8,
2019-06-01,-1,Bloomberg,1.4,
2019-06-01,1,Booker,2.6,
2019-06-01,3,Booker,2.4,
2019-06-01,5,Booker,0.9,
2019-06-01,7,Booker,3.3,
2019-06-01,9,Booker,5.7,
2019-06-01,11,Booker,2.7,
2019-06-01,13,Booker,4.3,
2019-06-01,15,Booker,1.1,
2019-06-01,17,Booker,0.5,
2019-06-01,19,Booker,2.7,
2019-06-01,21,Booker,2.5,
2019-06-01,23,Booker,2.7,
2019-06-01,25,Booker,0.7,
2019-06-01,27,Booker,3.0,
2019-06-01,29,Booker,4.8,
2019-06-01,31,Booker,3.6,
2019-06-01,33,Booker,1.2,
2019-06-01,35,Booker,0.7,
2019-06-01,37,Booker,2.6,
2019-06-01,39,Booker,3.2,
2019-06-01,41,Booker,0.7,
2019-06-01,43,Booker,1.2,
2019-06-01,45,Booker,5.5,
2019-06-01,47,Booker,3.4,
2019-06-01,49,Booker,1.3,
2019-06-01,51,Booker,1.6,
2019-06-01,53,Booker,2.7,
2019-06-01,55,Booker,1.6,
2019-06-01,57,Booker,1.1,
2019-06-01,59,Booker,1.1,
2019-06-01,61,Booker,0.5,
2019-06-01,63,Booker,4.0,
2019-06-01,65,Booker,2.7,
2019-06-01,67,Booker,1.1,
2019-06-01,69,Booker,1.0,
2019-06-01,71,Booker,4.5,
2019-06-01,73,Booker,0.7,
2019-06-01,75,Booker,1.2,
2019-06-01,77,Booker,4.0,
2019-06-01,79,Booker,4.9,
2019-06-01,81,Booker,6.3,
2019-06-01,83,Booker,2.9,
2019-06-01,85,Booker,2.8,
2019-06-01,87,Booker,7.4,
2019-06-01,89,Booker,2.7,
2019-06-01,91,Booker,0.9,
2019-06-01,93,Booker,0.6,
2019-06-01,95,Booker,2.6,
2019-06-01,97,Booker,4.1,
2019-06-01,99,Booker,4.1,
