state,statecat,value,label,xValue,yValue,rank
North Dakota,Arizona,59.8,ND,467.0742,117.3823,24.0
Ohio,Arizona,63.3,OH,670.7197,219.4883,12.0
Oklahoma,Arizona,66.4,OK,500.1963,306.418,5.0
Oregon,Arizona,62.2,OR,240.2783,139.5654,17.0
Pennsylvania,Arizona,62.7,PA,730.3535,200.856,15.0
Rhode Island,Arizona,58.2,RI,-1000.0,-1000.0,28.0
South Carolina,Arizona,43.5,SC,712.4395,315.6387,48.0
South Dakota,Arizona,61.8,SD,468.0742,163.5166,20.0
Tennessee,Arizona,59.1,TN,640.8594,294.8193,26.0
Texas,Arizona,61.9,TX,480.9902,374.2861,19.0
Utah,Arizona,59.8,UT,330.1084,234.978,25.0
Vermont,Arizona,43.9,VT,-1000.0,-1000.0,46.0
Virginia,Arizona,54.3,VA,731.0264,252.7842,36.0
Washington,Arizona,54.3,WA,256.9365,88.0762,35.0
West Virginia,Arizona,52.2,WV,701.0,243.0,38.0
Wisconsin,Arizona,56.9,WI,585.2529,163.2588,32.0
Wyoming,Arizona,64.4,WY,385.9287,179.6255,9.0
District of Columbia,Arizona,25.1,DC,-1000.0,-1000.0,21.0
Alabama,Arkansas,62.6,AL,637.0,338.6934,23.0
Alaska,Arkansas,58.6,AK,245.0,400.0,33.0
Arizona,Arkansas,74.4,AZ,315.0,306.5801,9.0
Arkansas,Arkansas,99.8,AR,560.0,315.6387,0.0
California,Arkansas,47.5,CA,223.0,253.9219,47.0
Colorado,Arkansas,72.5,CO,400.0,245.5645,12.0
Connecticut,Arkansas,55.8,CT,-1000.0,-1000.0,38.0
Delaware,Arkansas,71.2,DE,-1000.0,-1000.0,14.0
Florida,Arkansas,72.5,FL,714.0,397.8154,11.0
Georgia,Arkansas,56.2,GA,680.0117,335.2354,36.0
Hawaii,Arkansas,40.8,HI,380.0,465.0,49.0
Idaho,Arkansas,54.5,ID,310.1851,155.0,41.0
Illinois,Arkansas,78.3,IL,596.6602,231.2954,4.0
Indiana,Arkansas,71.8,IN,633.4111,228.4214,13.0
Iowa,Arkansas,59.1,IA,545.8457,202.6782,29.0
Kansas,Arkansas,67.1,KS,487.0,259.1592,17.0
Kentucky,Arkansas,68.0,KY,655.1484,264.9658,16.0
Louisiana,Arkansas,57.7,LA,561.4404,369.8135,34.0
Maine,Arkansas,55.8,ME,807.3105,109.855,37.0
Maryland,Arkansas,57.2,MD,-1000.0,-1000.0,35.0
Massachusetts,Arkansas,53.3,MA,-1000.0,-1000.0,42.0
Michigan,Arkansas,75.5,MI,645.6465,181.3647,6.0
Minnesota,Arkansas,61.0,MN,530.8594,141.5874,25.0
Mississippi,Arkansas,54.6,MS,598.6016,342.1514,40.0
Missouri,Arkansas,77.6,MO,557.0,261.123,5.0
Montana,Arkansas,59.2,MT,370.0981,112.7705,28.0
Nebraska,Arkansas,65.3,NE,473.8364,210.0527,20.0
Nevada,Arkansas,58.7,NV,267.8765,219.0957,32.0
New Hampshire,Arkansas,49.9,NH,-1000.0,-1000.0,45.0
New Jersey,Arkansas,74.6,NJ,785.0,210.0,8.0
New Mexico,Arkansas,59.0,NM,385.3774,314.1035,31.0
New York,Arkansas,66.8,NY,753.5781,163.2588,18.0
North Carolina,Arkansas,79.4,NC,728.6084,284.5029,1.0
North Dakota,Arkansas,60.4,ND,467.0742,117.3823,27.0
Ohio,Arkansas,78.3,OH,670.7197,219.4883,3.0
Oklahoma,Arkansas,72.7,OK,500.1963,306.418,10.0
Oregon,Arkansas,51.0,OR,240.2783,139.5654,43.0
Pennsylvania,Arkansas,74.7,PA,730.3535,200.856,7.0
Rhode Island,Arkansas,62.9,RI,-1000.0,-1000.0,22.0
South Carolina,Arkansas,54.9,SC,712.4395,315.6387,39.0
South Dakota,Arkansas,62.6,SD,468.0742,163.5166,24.0
Tennessee,Arkansas,79.0,TN,640.8594,294.8193,2.0
Texas,Arkansas,66.1,TX,480.9902,374.2861,19.0
Utah,Arkansas,50.4,UT,330.1084,234.978,44.0
Vermont,Arkansas,48.5,VT,-1000.0,-1000.0,46.0
Virginia,Arkansas,69.4,VA,731.0264,252.7842,15.0
Washington,Arkansas,44.5,WA,256.9365,88.0762,48.0
West Virginia,Arkansas,60.7,WV,701.0,243.0,26.0
Wisconsin,Arkansas,63.3,WI,585.2529,163.2588,21.0
Wyoming,Arkansas,59.1,WY,385.9287,179.6255,30.0
District of Columbia,Arkansas,30.2,DC,-1000.0,-1000.0,14.0
Alabama,California,55.3,AL,637.0,338.6934,12.0
Alaska,California,49.6,AK,245.0,400.0,26.0
Arizona,California,63.6,AZ,315.0,306.5801,5.0
Arkansas,California,46.2,AR,560.0,315.6387,38.0
California,California,99.8,CA,223.0,253.9219,0.0
Colorado,California,67.8,CO,400.0,245.5645,4.0
Connecticut,California,45.1,CT,-1000.0,-1000.0,42.0
Delaware,California,47.2,DE,-1000.0,-1000.0,33.0
Florida,California,55.9,FL,714.0,397.8154,11.0
Georgia,California,49.9,GA,680.0117,335.2354,25.0
Hawaii,California,58.1,HI,380.0,465.0,9.0
Idaho,California,50.9,ID,310.1851,155.0,22.0
Illinois,California,58.4,IL,596.6602,231.2954,8.0
Indiana,California,52.9,IN,633.4111,228.4214,15.0
Iowa,California,45.5,IA,545.8457,202.6782,41.0
Kansas,California,48.4,KS,487.0,259.1592,30.0
Kentucky,California,46.1,KY,655.1484,264.9658,40.0
Louisiana,California,52.5,LA,561.4404,369.8135,18.0
Maine,California,36.1,ME,807.3105,109.855,50.0
Maryland,California,55.9,MD,-1000.0,-1000.0,10.0
Massachusetts,California,47.7,MA,-1000.0,-1000.0,32.0
Michigan,California,49.4,MI,645.6465,181.3647,27.0
Minnesota,California,52.4,MN,530.8594,141.5874,19.0
Mississippi,California,46.8,MS,598.6016,342.1514,35.0
Missouri,California,54.0,MO,557.0,261.123,13.0
Montana,California,47.1,MT,370.0981,112.7705,34.0
Nebraska,California,48.9,NE,473.8364,210.0527,28.0
Nevada,California,70.8,NV,267.8765,219.0957,2.0
New Hampshire,California,43.4,NH,-1000.0,-1000.0,44.0
New Jersey,California,52.0,NJ,785.0,210.0,20.0
New Mexico,California,69.4,NM,385.3774,314.1035,3.0
New York,California,59.6,NY,753.5781,163.2588,7.0
North Carolina,California,47.9,NC,728.6084,284.5029,31.0
North Dakota,California,40.1,ND,467.0742,117.3823,46.0
Ohio,California,46.5,OH,670.7197,219.4883,36.0
Oklahoma,California,41.9,OK,500.1963,306.418,45.0
Oregon,California,63.0,OR,240.2783,139.5654,6.0
Pennsylvania,California,51.3,PA,730.3535,200.856,21.0
Rhode Island,California,50.0,RI,-1000.0,-1000.0,24.0
South Carolina,California,46.1,SC,712.4395,315.6387,39.0
South Dakota,California,46.5,SD,468.0742,163.5166,37.0
Tennessee,California,48.4,TN,640.8594,294.8193,29.0
Texas,California,75.6,TX,480.9902,374.2861,1.0
Utah,California,53.7,UT,330.1084,234.978,14.0
Vermont,California,37.8,VT,-1000.0,-1000.0,47.0
Virginia,California,50.5,VA,731.0264,252.7842,23.0
Washington,California,52.9,WA,256.9365,88.0762,16.0
West Virginia,California,36.5,WV,701.0,243.0,49.0
Wisconsin,California,52.8,WI,585.2529,163.2588,17.0
Wyoming,California,44.4,WY,385.9287,179.6255,43.0
District of Columbia,California,37.5,DC,-1000.0,-1000.0,33.0
Alabama,Colorado,56.7,AL,637.0,338.6934,39.0
Alaska,Colorado,62.8,AK,245.0,400.0,30.0
Arizona,Colorado,77.9,AZ,315.0,306.5801,1.0
Arkansas,Colorado,73.2,AR,560.0,315.6387,6.0
California,Colorado,66.3,CA,223.0,253.9219,24.0
Colorado,Colorado,99.8,CO,400.0,245.5645,0.0
Connecticut,Colorado,61.2,CT,-1000.0,-1000.0,33.0
Delaware,Colorado,66.9,DE,-1000.0,-1000.0,23.0
Florida,Colorado,59.4,FL,714.0,397.8154,37.0
Georgia,Colorado,50.1,GA,680.0117,335.2354,45.0
Hawaii,Colorado,52.1,HI,380.0,465.0,42.0
Idaho,Colorado,62.4,ID,310.1851,155.0,31.0
Illinois,Colorado,77.8,IL,596.6602,231.2954,2.0
Indiana,Colorado,72.6,IN,633.4111,228.4214,8.0
Iowa,Colorado,63.3,IA,545.8457,202.6782,28.0
Kansas,Colorado,68.2,KS,487.0,259.1592,19.0
Kentucky,Colorado,66.9,KY,655.1484,264.9658,22.0
Louisiana,Colorado,51.5,LA,561.4404,369.8135,44.0
Maine,Colorado,47.8,ME,807.3105,109.855,48.0
Maryland,Colorado,56.2,MD,-1000.0,-1000.0,40.0
Massachusetts,Colorado,61.3,MA,-1000.0,-1000.0,32.0
Michigan,Colorado,69.2,MI,645.6465,181.3647,17.0
Minnesota,Colorado,71.4,MN,530.8594,141.5874,10.0
Mississippi,Colorado,48.3,MS,598.6016,342.1514,47.0
Missouri,Colorado,76.6,MO,557.0,261.123,4.0
Montana,Colorado,60.2,MT,370.0981,112.7705,35.0
Nebraska,Colorado,68.7,NE,473.8364,210.0527,18.0
Nevada,Colorado,76.9,NV,267.8765,219.0957,3.0
New Hampshire,Colorado,56.1,NH,-1000.0,-1000.0,41.0
New Jersey,Colorado,70.4,NJ,785.0,210.0,13.0
New Mexico,Colorado,74.8,NM,385.3774,314.1035,5.0
New York,Colorado,72.7,NY,753.5781,163.2588,7.0
North Carolina,Colorado,69.4,NC,728.6084,284.5029,15.0
North Dakota,Colorado,57.6,ND,467.0742,117.3823,38.0
Ohio,Colorado,69.3,OH,670.7197,219.4883,16.0
Oklahoma,Colorado,63.2,OK,500.1963,306.418,29.0
Oregon,Colorado,67.4,OR,240.2783,139.5654,21.0
Pennsylvania,Colorado,72.4,PA,730.3535,200.856,9.0
Rhode Island,Colorado,64.6,RI,-1000.0,-1000.0,25.0
South Carolina,Colorado,46.9,SC,712.4395,315.6387,49.0
South Dakota,Colorado,64.2,SD,468.0742,163.5166,26.0
Tennessee,Colorado,71.4,TN,640.8594,294.8193,11.0
Texas,Colorado,70.0,TX,480.9902,374.2861,14.0
Utah,Colorado,63.5,UT,330.1084,234.978,27.0
Vermont,Colorado,51.9,VT,-1000.0,-1000.0,43.0
Virginia,Colorado,68.0,VA,731.0264,252.7842,20.0
Washington,Colorado,59.7,WA,256.9365,88.0762,36.0
West Virginia,Colorado,49.6,WV,701.0,243.0,46.0
Wisconsin,Colorado,70.5,WI,585.2529,163.2588,12.0
Wyoming,Colorado,60.5,WY,385.9287,179.6255,34.0
District of Columbia,Colorado,32.8,DC,-1000.0,-1000.0,23.0
Alabama,Connecticut,41.9,AL,637.0,338.6934,43.0
Alaska,Connecticut,50.8,AK,245.0,400.0,37.0
Arizona,Connecticut,51.8,AZ,315.0,306.5801,36.0
Arkansas,Connecticut,55.2,AR,560.0,315.6387,34.0
California,Connecticut,39.6,CA,223.0,253.9219,46.0
Colorado,Connecticut,58.9,CO,400.0,245.5645,28.0
Connecticut,Connecticut,99.8,CT,-1000.0,-1000.0,0.0
Delaware,Connecticut,77.8,DE,-1000.0,-1000.0,7.0
Florida,Connecticut,45.1,FL,714.0,397.8154,41.0
Georgia,Connecticut,41.0,GA,680.0117,335.2354,45.0
Hawaii,Connecticut,39.4,HI,380.0,465.0,47.0
Idaho,Connecticut,60.3,ID,310.1851,155.0,26.0
Illinois,Connecticut,57.9,IL,596.6602,231.2954,30.0
Indiana,Connecticut,71.1,IN,633.4111,228.4214,13.0
Iowa,Connecticut,69.8,IA,545.8457,202.6782,14.0
Kansas,Connecticut,68.1,KS,487.0,259.1592,16.0
Kentucky,Connecticut,77.1,KY,655.1484,264.9658,8.0
Louisiana,Connecticut,33.6,LA,561.4404,369.8135,49.0
Maine,Connecticut,72.5,ME,807.3105,109.855,10.0
Maryland,Connecticut,53.1,MD,-1000.0,-1000.0,35.0
Massachusetts,Connecticut,95.3,MA,-1000.0,-1000.0,1.0
Michigan,Connecticut,62.7,MI,645.6465,181.3647,25.0
Minnesota,Connecticut,79.7,MN,530.8594,141.5874,6.0
Mississippi,Connecticut,32.8,MS,598.6016,342.1514,50.0
Missouri,Connecticut,64.7,MO,557.0,261.123,21.0
Montana,Connecticut,57.8,MT,370.0981,112.7705,31.0
Nebraska,Connecticut,67.6,NE,473.8364,210.0527,18.0
Nevada,Connecticut,48.5,NV,267.8765,219.0957,38.0
New Hampshire,Connecticut,88.3,NH,-1000.0,-1000.0,2.0
New Jersey,Connecticut,71.7,NJ,785.0,210.0,12.0
New Mexico,Connecticut,46.0,NM,385.3774,314.1035,40.0
New York,Connecticut,68.1,NY,753.5781,163.2588,15.0
North Carolina,Connecticut,63.9,NC,728.6084,284.5029,22.0
North Dakota,Connecticut,57.7,ND,467.0742,117.3823,32.0
Ohio,Connecticut,72.7,OH,670.7197,219.4883,9.0
Oklahoma,Connecticut,48.5,OK,500.1963,306.418,39.0
Oregon,Connecticut,68.1,OR,240.2783,139.5654,17.0
Pennsylvania,Connecticut,72.1,PA,730.3535,200.856,11.0
Rhode Island,Connecticut,82.3,RI,-1000.0,-1000.0,3.0
South Carolina,Connecticut,41.2,SC,712.4395,315.6387,44.0
South Dakota,Connecticut,63.9,SD,468.0742,163.5166,23.0
Tennessee,Connecticut,59.1,TN,640.8594,294.8193,27.0
Texas,Connecticut,43.0,TX,480.9902,374.2861,42.0
Utah,Connecticut,58.2,UT,330.1084,234.978,29.0
Vermont,Connecticut,81.0,VT,-1000.0,-1000.0,4.0
Virginia,Connecticut,62.9,VA,731.0264,252.7842,24.0
Washington,Connecticut,65.2,WA,256.9365,88.0762,20.0
West Virginia,Connecticut,66.7,WV,701.0,243.0,19.0
Wisconsin,Connecticut,80.6,WI,585.2529,163.2588,5.0
Wyoming,Connecticut,55.9,WY,385.9287,179.6255,33.0
District of Columbia,Connecticut,33.8,DC,-1000.0,-1000.0,7.0
Alabama,Delaware,56.5,AL,637.0,338.6934,34.0
Alaska,Delaware,62.3,AK,245.0,400.0,30.0
Arizona,Delaware,63.5,AZ,315.0,306.5801,28.0
Arkansas,Delaware,72.1,AR,560.0,315.6387,15.0
California,Delaware,45.1,CA,223.0,253.9219,47.0
Colorado,Delaware,66.4,CO,400.0,245.5645,23.0
Connecticut,Delaware,78.6,CT,-1000.0,-1000.0,7.0
Delaware,Delaware,99.8,DE,-1000.0,-1000.0,0.0
Florida,Delaware,62.5,FL,714.0,397.8154,29.0
Georgia,Delaware,55.5,GA,680.0117,335.2354,37.0
Hawaii,Delaware,41.5,HI,380.0,465.0,49.0
Idaho,Delaware,54.4,ID,310.1851,155.0,40.0
Illinois,Delaware,70.3,IL,596.6602,231.2954,18.0
Indiana,Delaware,78.1,IN,633.4111,228.4214,8.0
Iowa,Delaware,59.5,IA,545.8457,202.6782,32.0
Kansas,Delaware,66.1,KS,487.0,259.1592,25.0
Kentucky,Delaware,80.2,KY,655.1484,264.9658,6.0
Louisiana,Delaware,44.7,LA,561.4404,369.8135,48.0
Maine,Delaware,67.6,ME,807.3105,109.855,19.0
Maryland,Delaware,66.2,MD,-1000.0,-1000.0,24.0
Massachusetts,Delaware,74.6,MA,-1000.0,-1000.0,13.0
Michigan,Delaware,77.4,MI,645.6465,181.3647,9.0
Minnesota,Delaware,66.7,MN,530.8594,141.5874,22.0
