rank,state,state2,value
7,Nebraska,Wisconsin,73.3
8,Nebraska,Oklahoma,73.1
9,Nebraska,Missouri,72.1
10,Nebraska,Arkansas,69.3
1,Nevada,Arizona,73.3
2,Nevada,Washington,65.0
3,Nevada,Oregon,62.1
4,Nevada,Colorado,60.7
5,Nevada,California,60.6
6,Nevada,Texas,56.5
7,Nevada,Utah,56.0
8,Nevada,Florida,55.9
9,Nevada,New Mexico,54.9
10,Nevada,Minnesota,53.1
1,New Hampshire,Vermont,84.2
2,New Hampshire,Maine,82.7
3,New Hampshire,Pennsylvania,76.5
4,New Hampshire,Rhode Island,72.5
5,New Hampshire,Wisconsin,69.9
6,New Hampshire,Massachusetts,68.4
7,New Hampshire,Connecticut,68.2
8,New Hampshire,Michigan,68.1
9,New Hampshire,Ohio,65.5
10,New Hampshire,Minnesota,64.9
1,New Jersey,New York,85.1
2,New Jersey,Connecticut,85.0
3,New Jersey,Virginia,79.5
4,New Jersey,Delaware,78.8
5,New Jersey,Illinois,76.1
6,New Jersey,Rhode Island,74.3
7,New Jersey,Massachusetts,72.4
8,New Jersey,Maryland,68.2
9,New Jersey,Pennsylvania,68.1
10,New Jersey,North Carolina,67.6
1,New Mexico,Texas,65.3
2,New Mexico,Arizona,63.1
3,New Mexico,Colorado,60.8
4,New Mexico,Nevada,54.9
5,New Mexico,California,51.5
6,New Mexico,Washington,51.2
7,New Mexico,Oregon,51.1
8,New Mexico,Illinois,50.3
9,New Mexico,Minnesota,48.1
10,New Mexico,Utah,46.9
1,New York,New Jersey,85.1
2,New York,Connecticut,76.1
3,New York,Maryland,75.8
4,New York,Massachusetts,73.7
5,New York,Virginia,73.5
6,New York,Delaware,72.7
7,New York,Rhode Island,71.8
8,New York,Illinois,71.5
9,New York,North Carolina,63.6
10,New York,Pennsylvania,63.4
1,North Carolina,Virginia,84.9
2,North Carolina,South Carolina,84.2
3,North Carolina,Delaware,80.0
4,North Carolina,Georgia,77.4
5,North Carolina,Florida,75.2
6,North Carolina,Pennsylvania,74.3
7,North Carolina,Ohio,71.9
8,North Carolina,Michigan,70.8
9,North Carolina,Illinois,69.5
10,North Carolina,New Jersey,67.6
1,North Dakota,South Dakota,86.9
2,North Dakota,Nebraska,86.5
3,North Dakota,Kansas,77.3
4,North Dakota,Montana,75.3
5,North Dakota,Utah,75.3
6,North Dakota,Oklahoma,70.9
7,North Dakota,Wisconsin,70.8
8,North Dakota,Minnesota,69.7
9,North Dakota,Wyoming,69.3
10,North Dakota,Iowa,69.3
1,Ohio,Indiana,85.2
2,Ohio,Michigan,82.8
3,Ohio,Missouri,82.6
4,Ohio,Pennsylvania,81.4
5,Ohio,Tennessee,78.9
6,Ohio,Wisconsin,76.5
7,Ohio,Iowa,75.8
8,Ohio,North Carolina,71.9
9,Ohio,Kentucky,70.3
10,Ohio,Arkansas,70.3
1,Oklahoma,Arkansas,78.7
2,Oklahoma,Kansas,75.8
3,Oklahoma,Nebraska,73.1
4,Oklahoma,South Dakota,72.8
5,Oklahoma,Tennessee,71.2
6,Oklahoma,Missouri,71.2
7,Oklahoma,North Dakota,70.9
8,Oklahoma,Alabama,68.5
9,Oklahoma,Utah,65.4
10,Oklahoma,Indiana,63.5
1,Oregon,Washington,82.8
2,Oregon,Utah,68.6
3,Oregon,Montana,67.4
4,Oregon,Idaho,64.8
5,Oregon,Kansas,62.9
6,Oregon,Wisconsin,62.5
7,Oregon,Nevada,62.1
8,Oregon,Nebraska,61.6
9,Oregon,North Dakota,60.9
10,Oregon,Rhode Island,60.9
1,Pennsylvania,Michigan,86.9
2,Pennsylvania,Ohio,81.4
3,Pennsylvania,Wisconsin,79.3
4,Pennsylvania,New Hampshire,76.5
5,Pennsylvania,Virginia,76.0
6,Pennsylvania,North Carolina,74.3
7,Pennsylvania,Rhode Island,73.5
8,Pennsylvania,Delaware,71.5
9,Pennsylvania,Indiana,70.3
10,Pennsylvania,Florida,68.7
1,Rhode island,Connecticut,82.1
2,Rhode island,Massachusetts,77.0
3,Rhode island,New Jersey,74.3
4,Rhode island,Pennsylvania,73.5
5,Rhode island,Delaware,73.1
6,Rhode island,Vermont,72.8
7,Rhode island,New Hampshire,72.5
8,Rhode island,New York,71.8
9,Rhode island,Maine,69.3
10,Rhode island,Illinois,66.2
1,South Carolina,North Carolina,84.2
2,South Carolina,Georgia,80.2
3,South Carolina,Alabama,77.5
4,South Carolina,Delaware,73.1
5,South Carolina,Mississippi,72.5
6,South Carolina,Virginia,71.8
7,South Carolina,Louisiana,70.9
8,South Carolina,Tennessee,68.2
9,South Carolina,Ohio,67.0
10,South Carolina,Florida,66.9
1,South Dakota,North Dakota,86.9
2,South Dakota,Nebraska,86.8
3,South Dakota,Montana,77.4
4,South Dakota,Kansas,77.2
5,South Dakota,Missouri,74.2
6,South Dakota,Iowa,72.8
7,South Dakota,Oklahoma,72.8
8,South Dakota,Utah,72.3
9,South Dakota,Wyoming,71.9
10,South Dakota,Arkansas,71.7
1,Tennessee,Arkansas,85.3
2,Tennessee,Missouri,81.5
3,Tennessee,Indiana,81.0
4,Tennessee,Kentucky,80.3
5,Tennessee,Alabama,79.2
6,Tennessee,Ohio,78.9
7,Tennessee,Oklahoma,71.2
8,Tennessee,Michigan,70.7
9,Tennessee,South Dakota,69.8
10,Tennessee,South Carolina,68.2
1,Texas,Arizona,70.0
2,Texas,New Mexico,65.3
3,Texas,Kansas,60.7
4,Texas,Florida,60.2
5,Texas,Nevada,56.5
6,Texas,Missouri,56.2
7,Texas,Illinois,55.2
8,Texas,Oklahoma,55.1
9,Texas,Colorado,53.8
10,Texas,Louisiana,52.8
1,Utah,Nebraska,78.8
2,Utah,North Dakota,75.3
3,Utah,Kansas,75.0
4,Utah,South Dakota,72.3
5,Utah,Idaho,71.7
6,Utah,Montana,70.8
7,Utah,Oregon,68.6
8,Utah,Wyoming,67.3
9,Utah,Oklahoma,65.4
10,Utah,Arizona,65.0
1,Vermont,New Hampshire,84.2
2,Vermont,Massachusetts,75.5
3,Vermont,Maine,74.1
4,Vermont,Rhode Island,72.8
5,Vermont,Connecticut,65.2
6,Vermont,Pennsylvania,64.1
7,Vermont,New York,59.2
8,Vermont,Ohio,59.2
9,Vermont,Wisconsin,58.3
10,Vermont,Delaware,56.5
1,Virginia,North Carolina,84.9
2,Virginia,New Jersey,79.5
3,Virginia,Delaware,78.0
4,Virginia,Pennsylvania,76.0
5,Virginia,New York,73.5
6,Virginia,Illinois,72.8
7,Virginia,Connecticut,71.9
8,Virginia,South Carolina,71.8
9,Virginia,Georgia,71.0
10,Virginia,Maryland,69.8
1,Washington,Oregon,82.8
2,Washington,Nevada,65.0
3,Washington,Illinois,64.4
4,Washington,Utah,60.7
5,Washington,Connecticut,60.2
6,Washington,Minnesota,59.6
7,Washington,Montana,58.6
8,Washington,Colorado,58.4
9,Washington,Arizona,58.3
10,Washington,Rhode Island,58.2
1,West Virginia,Kentucky,74.3
2,West Virginia,Tennessee,60.0
3,West Virginia,Indiana,59.6
4,West Virginia,Arkansas,58.8
5,West Virginia,Ohio,57.6
6,West Virginia,Oklahoma,53.1
7,West Virginia,Alabama,52.8
