state,statecat,value,label,xValue,yValue
Delaware,Delaware,100.0,DE,-1000.0,-1000.0
Florida,Delaware,61.4,FL,714.0,397.8154
Georgia,Delaware,62.9,GA,680.0117,335.2354
Hawaii,Delaware,13.6,HI,380.0,465.0
Idaho,Delaware,30.7,ID,310.1851,155.0
Illinois,Delaware,73.3,IL,596.6602,231.2954
Indiana,Delaware,54.1,IN,633.4111,228.4214
Iowa,Delaware,46.0,IA,545.8457,202.6782
Kansas,Delaware,44.8,KS,487.0,259.1592
Kentucky,Delaware,47.7,KY,655.1484,264.9658
Louisiana,Delaware,53.5,LA,561.4404,369.8135
Maine,Delaware,55.8,ME,807.3105,109.855
Maryland,Delaware,75.1,MD,-1000.0,-1000.0
Massachusetts,Delaware,66.3,MA,-1000.0,-1000.0
Michigan,Delaware,65.4,MI,645.6465,181.3647
Minnesota,Delaware,54.8,MN,530.8594,141.5874
Mississippi,Delaware,50.8,MS,598.6016,342.1514
Missouri,Delaware,50.6,MO,557.0,261.123
Montana,Delaware,35.2,MT,370.0981,112.7705
Nebraska,Delaware,40.9,NE,473.8364,210.0527
Nevada,Delaware,45.8,NV,267.8765,219.0957
New Hampshire,Delaware,58.3,NH,-1000.0,-1000.0
New Jersey,Delaware,78.8,NJ,785.0,210.0
New Mexico,Delaware,37.9,NM,385.3774,314.1035
New York,Delaware,72.7,NY,753.5781,163.2588
North Carolina,Delaware,80.0,NC,728.6084,284.5029
North Dakota,Delaware,39.5,ND,467.0742,117.3823
Ohio,Delaware,62.2,OH,670.7197,219.4883
Oklahoma,Delaware,48.5,OK,500.1963,306.418
Oregon,Delaware,47.5,OR,240.2783,139.5654
Pennsylvania,Delaware,71.5,PA,730.3535,200.856
Rhode Island,Delaware,73.1,RI,-1000.0,-1000.0
South Carolina,Delaware,73.1,SC,712.4395,315.6387
South Dakota,Delaware,40.7,SD,468.0742,163.5166
Tennessee,Delaware,58.0,TN,640.8594,294.8193
Texas,Delaware,40.9,TX,480.9902,374.2861
Utah,Delaware,36.5,UT,330.1084,234.978
Vermont,Delaware,56.5,VT,-1000.0,-1000.0
Virginia,Delaware,78.0,VA,731.0264,252.7842
Washington,Delaware,57.1,WA,256.9365,88.0762
West Virginia,Delaware,43.9,WV,701.0,243.0
Wisconsin,Delaware,53.8,WI,585.2529,163.2588
Wyoming,Delaware,32.4,WY,385.9287,179.6255
District of Columbia,Delaware,47.7,DC,-1000.0,-1000.0
Alabama,Florida,62.7,AL,637.0,338.6934
Alaska,Florida,37.0,AK,245.0,400.0
Arizona,Florida,63.3,AZ,315.0,306.5801
Arkansas,Florida,53.2,AR,560.0,315.6387
California,Florida,32.5,CA,223.0,253.9219
Colorado,Florida,49.3,CO,400.0,245.5645
Connecticut,Florida,55.0,CT,-1000.0,-1000.0
Delaware,Florida,61.4,DE,-1000.0,-1000.0
Florida,Florida,100.0,FL,714.0,397.8154
Georgia,Florida,66.0,GA,680.0117,335.2354
Hawaii,Florida,9.1,HI,380.0,465.0
Idaho,Florida,35.3,ID,310.1851,155.0
Illinois,Florida,64.4,IL,596.6602,231.2954
Indiana,Florida,56.9,IN,633.4111,228.4214
Iowa,Florida,56.5,IA,545.8457,202.6782
Kansas,Florida,54.4,KS,487.0,259.1592
Kentucky,Florida,48.6,KY,655.1484,264.9658
Louisiana,Florida,54.3,LA,561.4404,369.8135
Maine,Florida,46.0,ME,807.3105,109.855
Maryland,Florida,47.0,MD,-1000.0,-1000.0
Massachusetts,Florida,46.1,MA,-1000.0,-1000.0
Michigan,Florida,66.3,MI,645.6465,181.3647
Minnesota,Florida,57.1,MN,530.8594,141.5874
Mississippi,Florida,52.3,MS,598.6016,342.1514
Missouri,Florida,57.5,MO,557.0,261.123
Montana,Florida,42.0,MT,370.0981,112.7705
Nebraska,Florida,47.1,NE,473.8364,210.0527
Nevada,Florida,55.9,NV,267.8765,219.0957
New Hampshire,Florida,52.2,NH,-1000.0,-1000.0
New Jersey,Florida,60.7,NJ,785.0,210.0
New Mexico,Florida,42.1,NM,385.3774,314.1035
New York,Florida,55.5,NY,753.5781,163.2588
North Carolina,Florida,75.2,NC,728.6084,284.5029
North Dakota,Florida,42.3,ND,467.0742,117.3823
Ohio,Florida,64.9,OH,670.7197,219.4883
Oklahoma,Florida,51.5,OK,500.1963,306.418
Oregon,Florida,45.0,OR,240.2783,139.5654
Pennsylvania,Florida,68.7,PA,730.3535,200.856
Rhode Island,Florida,57.2,RI,-1000.0,-1000.0
South Carolina,Florida,66.9,SC,712.4395,315.6387
South Dakota,Florida,44.9,SD,468.0742,163.5166
Tennessee,Florida,60.6,TN,640.8594,294.8193
Texas,Florida,60.2,TX,480.9902,374.2861
Utah,Florida,43.7,UT,330.1084,234.978
Vermont,Florida,41.2,VT,-1000.0,-1000.0
Virginia,Florida,67.2,VA,731.0264,252.7842
Washington,Florida,45.7,WA,256.9365,88.0762
West Virginia,Florida,38.9,WV,701.0,243.0
Wisconsin,Florida,61.5,WI,585.2529,163.2588
Wyoming,Florida,35.6,WY,385.9287,179.6255
District of Columbia,Florida,33.6,DC,-1000.0,-1000.0
Alabama,Georgia,71.8,AL,637.0,338.6934
Alaska,Georgia,41.4,AK,245.0,400.0
Arizona,Georgia,43.0,AZ,315.0,306.5801
Arkansas,Georgia,53.0,AR,560.0,315.6387
California,Georgia,26.6,CA,223.0,253.9219
Colorado,Georgia,39.8,CO,400.0,245.5645
Connecticut,Georgia,49.9,CT,-1000.0,-1000.0
Delaware,Georgia,62.9,DE,-1000.0,-1000.0
Florida,Georgia,66.0,FL,714.0,397.8154
Georgia,Georgia,100.0,GA,680.0117,335.2354
Hawaii,Georgia,10.6,HI,380.0,465.0
Idaho,Georgia,27.0,ID,310.1851,155.0
Illinois,Georgia,57.3,IL,596.6602,231.2954
Indiana,Georgia,54.5,IN,633.4111,228.4214
Iowa,Georgia,50.9,IA,545.8457,202.6782
Kansas,Georgia,46.4,KS,487.0,259.1592
Kentucky,Georgia,49.4,KY,655.1484,264.9658
Louisiana,Georgia,70.9,LA,561.4404,369.8135
Maine,Georgia,37.7,ME,807.3105,109.855
Maryland,Georgia,66.8,MD,-1000.0,-1000.0
Massachusetts,Georgia,44.8,MA,-1000.0,-1000.0
Michigan,Georgia,56.6,MI,645.6465,181.3647
Minnesota,Georgia,47.7,MN,530.8594,141.5874
Mississippi,Georgia,73.2,MS,598.6016,342.1514
Missouri,Georgia,53.1,MO,557.0,261.123
Montana,Georgia,35.8,MT,370.0981,112.7705
Nebraska,Georgia,39.8,NE,473.8364,210.0527
Nevada,Georgia,43.7,NV,267.8765,219.0957
New Hampshire,Georgia,43.2,NH,-1000.0,-1000.0
New Jersey,Georgia,55.8,NJ,785.0,210.0
New Mexico,Georgia,31.0,NM,385.3774,314.1035
New York,Georgia,52.6,NY,753.5781,163.2588
North Carolina,Georgia,77.4,NC,728.6084,284.5029
North Dakota,Georgia,35.3,ND,467.0742,117.3823
Ohio,Georgia,62.3,OH,670.7197,219.4883
Oklahoma,Georgia,48.9,OK,500.1963,306.418
Oregon,Georgia,31.9,OR,240.2783,139.5654
Pennsylvania,Georgia,57.4,PA,730.3535,200.856
Rhode Island,Georgia,43.6,RI,-1000.0,-1000.0
South Carolina,Georgia,80.2,SC,712.4395,315.6387
South Dakota,Georgia,38.0,SD,468.0742,163.5166
Tennessee,Georgia,59.6,TN,640.8594,294.8193
Texas,Georgia,48.0,TX,480.9902,374.2861
