ev,gop,dem,gopY,demY,gopPerc,demPerc
248,92.5531914893617,137.2340425531915,57.446808510638306,12.7659574468085,0.3,0.4
249,102.12765957446808,108.51063829787233,47.87234042553192,41.48936170212767,0.3,0.3
250,108.51063829787233,90.95744680851064,41.48936170212767,59.04255319148936,0.3,0.3
251,106.91489361702128,89.36170212765957,43.08510638297872,60.63829787234043,0.3,0.3
252,78.19148936170212,110.1063829787234,71.80851063829788,39.8936170212766,0.2,0.3
253,100.53191489361703,105.31914893617021,49.46808510638297,44.68085106382979,0.3,0.3
254,114.8936170212766,100.53191489361703,35.1063829787234,49.46808510638297,0.4,0.3
255,100.53191489361703,95.74468085106383,49.46808510638297,54.25531914893617,0.3,0.3
256,90.95744680851064,79.7872340425532,59.04255319148936,70.2127659574468,0.3,0.3
257,102.12765957446808,81.38297872340426,47.87234042553192,68.61702127659574,0.3,0.3
258,98.93617021276596,118.08510638297872,51.06382978723404,31.914893617021278,0.3,0.4
259,103.72340425531914,114.8936170212766,46.27659574468086,35.1063829787234,0.3,0.4
260,122.87234042553192,70.2127659574468,27.127659574468083,79.7872340425532,0.4,0.2
261,84.57446808510639,78.19148936170212,65.42553191489361,71.80851063829788,0.3,0.2
262,87.7659574468085,92.5531914893617,62.2340425531915,57.446808510638306,0.3,0.3
263,116.48936170212767,97.3404255319149,33.51063829787233,52.6595744680851,0.4,0.3
264,103.72340425531914,121.27659574468085,46.27659574468086,28.723404255319153,0.3,0.4
265,82.97872340425532,94.14893617021276,67.02127659574468,55.851063829787236,0.3,0.3
266,75.0,78.19148936170212,75.0,71.80851063829788,0.2,0.2
267,97.3404255319149,68.61702127659575,52.6595744680851,81.38297872340425,0.3,0.2
268,118.08510638297872,94.14893617021276,31.914893617021278,55.851063829787236,0.4,0.3
269,82.97872340425532,82.97872340425532,67.02127659574468,67.02127659574468,0.3,0.3
270,94.14893617021276,118.08510638297872,55.851063829787236,31.914893617021278,0.3,0.4
271,68.61702127659575,97.3404255319149,81.38297872340425,52.6595744680851,0.2,0.3
272,78.19148936170212,75.0,71.80851063829788,75.0,0.2,0.2
273,94.14893617021276,82.97872340425532,55.851063829787236,67.02127659574468,0.3,0.3
274,121.27659574468085,103.72340425531914,28.723404255319153,46.27659574468086,0.4,0.3
275,97.3404255319149,116.48936170212767,52.6595744680851,33.51063829787233,0.3,0.4
276,92.5531914893617,87.7659574468085,57.446808510638306,62.2340425531915,0.3,0.3
277,78.19148936170212,84.57446808510639,71.80851063829788,65.42553191489361,0.2,0.3
278,70.2127659574468,122.87234042553192,79.7872340425532,27.127659574468083,0.2,0.4
279,114.8936170212766,103.72340425531914,35.1063829787234,46.27659574468086,0.4,0.3
280,118.08510638297872,98.93617021276596,31.914893617021278,51.06382978723404,0.4,0.3
281,81.38297872340426,102.12765957446808,68.61702127659574,47.87234042553192,0.3,0.3
282,79.7872340425532,90.95744680851064,70.2127659574468,59.04255319148936,0.3,0.3
283,95.74468085106383,100.53191489361703,54.25531914893617,49.46808510638297,0.3,0.3
284,100.53191489361703,114.8936170212766,49.46808510638297,35.1063829787234,0.3,0.4
285,105.31914893617021,100.53191489361703,44.68085106382979,49.46808510638297,0.3,0.3
286,110.1063829787234,78.19148936170212,39.8936170212766,71.80851063829788,0.3,0.2
287,89.36170212765957,106.91489361702128,60.63829787234043,43.08510638297872,0.3,0.3
288,90.95744680851064,108.51063829787233,59.04255319148936,41.48936170212767,0.3,0.3
289,108.51063829787233,102.12765957446808,41.48936170212767,47.87234042553192,0.3,0.3
290,137.2340425531915,92.5531914893617,12.7659574468085,57.446808510638306,0.4,0.3
291,95.74468085106383,82.97872340425532,54.25531914893617,67.02127659574468,0.3,0.3
292,102.12765957446808,84.57446808510639,47.87234042553192,65.42553191489361,0.3,0.3
293,95.74468085106383,100.53191489361703,54.25531914893617,49.46808510638297,0.3,0.3
294,94.14893617021276,102.12765957446808,55.851063829787236,47.87234042553192,0.3,0.3
295,89.36170212765957,92.5531914893617,60.63829787234043,57.446808510638306,0.3,0.3
296,124.46808510638297,92.5531914893617,25.531914893617028,57.446808510638306,0.4,0.3
297,82.97872340425532,103.72340425531914,67.02127659574468,46.27659574468086,0.3,0.3
298,90.95744680851064,103.72340425531914,59.04255319148936,46.27659574468086,0.3,0.3
299,110.1063829787234,68.61702127659575,39.8936170212766,81.38297872340425,0.3,0.2
300,94.14893617021276,51.06382978723404,55.851063829787236,98.93617021276596,0.3,0.2
301,90.95744680851064,54.25531914893617,59.04255319148936,95.74468085106383,0.3,0.2
302,95.74468085106383,84.57446808510639,54.25531914893617,65.42553191489361,0.3,0.3
303,95.74468085106383,84.57446808510639,54.25531914893617,65.42553191489361,0.3,0.3
304,114.8936170212766,92.5531914893617,35.1063829787234,57.446808510638306,0.4,0.3
305,134.04255319148936,97.3404255319149,15.957446808510639,52.6595744680851,0.4,0.3
306,111.70212765957447,73.40425531914893,38.29787234042553,76.59574468085107,0.4,0.2
307,98.93617021276596,78.19148936170212,51.06382978723404,71.80851063829788,0.3,0.2
308,116.48936170212767,87.7659574468085,33.51063829787233,62.2340425531915,0.4,0.3
309,114.8936170212766,86.17021276595744,35.1063829787234,63.829787234042556,0.4,0.3
310,97.3404255319149,71.80851063829786,52.6595744680851,78.19148936170214,0.3,0.2
311,100.53191489361703,81.38297872340426,49.46808510638297,68.61702127659574,0.3,0.3
312,82.97872340425532,97.3404255319149,67.02127659574468,52.6595744680851,0.3,0.3
313,94.14893617021276,103.72340425531914,55.851063829787236,46.27659574468086,0.3,0.3
314,90.95744680851064,118.08510638297872,59.04255319148936,31.914893617021278,0.3,0.4
315,134.04255319148936,70.2127659574468,15.957446808510639,79.7872340425532,0.4,0.2
316,118.08510638297872,59.04255319148936,31.914893617021278,90.95744680851064,0.4,0.2
317,108.51063829787233,78.19148936170212,41.48936170212767,71.80851063829788,0.3,0.2
318,145.2127659574468,110.1063829787234,4.7872340425531945,39.8936170212766,0.5,0.3
319,106.91489361702128,100.53191489361703,43.08510638297872,49.46808510638297,0.3,0.3
320,100.53191489361703,103.72340425531914,49.46808510638297,46.27659574468086,0.3,0.3
