prob,state,gopv,gopdensity,gopvote,demv,demvote,demdensity,stdev,third,thirdv,thirddensity,thirdvote,
0.14,Texas,45.97792428,0.434242571,53,38.97792428,46,0.234242571,6.5,1.242528,1.4,0.0621264,4,
0.15,Texas,46.26318297,0.435870581,53,39.26318297,46,0.235870581,6.5,1.3005,1.5,0.065025,4,
0.16,Texas,46.53602376,0.437432576,53,39.53602376,46,0.237432576,6.5,1.354752,1.6,0.0677376,4,
0.17,Texas,46.79792585,0.438931314,53,39.79792585,46,0.238931314,6.5,1.405356,1.7,0.0702678,4,
0.18,Texas,47.05012693,0.440369233,53,40.05012693,46,0.240369233,6.5,1.452384,1.8,0.0726192,4,
0.19,Texas,47.29367408,0.441748504,53,40.29367408,46,0.241748504,6.5,1.495908,1.9,0.0747954,4,
0.2,Texas,47.52946198,0.443071065,53,40.52946198,46,0.243071065,6.5,1.536,2,0.0768,4,
0.21,Texas,47.75826189,0.444338659,53,40.75826189,46,0.244338659,6.5,1.572732,2.1,0.0786366,4,
0.22,Texas,47.98074411,0.445552859,53,40.98074411,46,0.245552859,6.5,1.606176,2.2,0.0803088,4,
0.23,Texas,48.19749548,0.44671509,53,41.19749548,46,0.24671509,6.5,1.636404,2.3,0.0818202,4,
0.24,Texas,48.40903334,0.447826645,53,41.40903334,46,0.247826645,6.5,1.663488,2.4,0.0831744,4,
0.25,Texas,48.61581662,0.448888703,53,41.61581662,46,0.248888703,6.5,1.6875,2.5,0.084375,4,
0.26,Texas,48.81825486,0.449902341,53,41.81825486,46,0.249902341,6.5,1.708512,2.6,0.0854256,4,
0.27,Texas,49.01671556,0.450868542,53,42.01671556,46,0.250868542,6.5,1.726596,2.7,0.0863298,4,
0.28,Texas,49.2115302,0.451788207,53,42.2115302,46,0.251788207,6.5,1.741824,2.8,0.0870912,4,
0.29,Texas,49.40299932,0.452662164,53,42.40299932,46,0.252662164,6.5,1.754268,2.9,0.0877134,4,
0.3,Texas,49.59139667,0.453491171,53,42.59139667,46,0.253491171,6.5,1.764,3,0.0882,4,
0.31,Texas,49.77697274,0.454275926,53,42.77697274,46,0.254275926,6.5,1.771092,3.1,0.0885546,4,
0.32,Texas,49.95995781,0.455017069,53,42.95995781,46,0.255017069,6.5,1.775616,3.2,0.0887808,4,
0.33,Texas,50.14056442,0.455715187,53,43.14056442,46,0.255715187,6.5,1.777644,3.3,0.0888822,4,
0.34,Texas,50.31898966,0.45637082,53,43.31898966,46,0.25637082,6.5,1.777248,3.4,0.0888624,4,
0.35,Texas,50.49541697,0.456984462,53,43.49541697,46,0.256984462,6.5,1.7745,3.5,0.088725,4,
0.36,Texas,50.67001784,0.457556566,53,43.67001784,46,0.257556566,6.5,1.769472,3.6,0.0884736,4,
0.37,Texas,50.84295325,0.458087544,53,43.84295325,46,0.258087544,6.5,1.762236,3.7,0.0881118,4,
0.38,Texas,51.01437488,0.458577772,53,44.01437488,46,0.258577772,6.5,1.752864,3.8,0.0876432,4,
0.39,Texas,51.18442628,0.459027593,53,44.18442628,46,0.259027593,6.5,1.741428,3.9,0.0870714,4,
0.4,Texas,51.35324383,0.459437313,53,44.35324383,46,0.259437313,6.5,1.728,4,0.0864,4,
0.41,Texas,51.52095765,0.459807209,53,44.52095765,46,0.259807209,6.5,1.712652,4.1,0.0856326,4,
0.42,Texas,51.68769239,0.460137528,53,44.68769239,46,0.260137528,6.5,1.695456,4.2,0.0847728,4,
0.43,Texas,51.85356793,0.460428488,53,44.85356793,46,0.260428488,6.5,1.676484,4.3,0.0838242,4,
0.44,Texas,52.0187001,0.460680277,53,45.0187001,46,0.260680277,6.5,1.655808,4.4,0.0827904,4,
0.45,Texas,52.18320125,0.460893058,53,45.18320125,46,0.260893058,6.5,1.6335,4.5,0.081675,4,
0.46,Texas,52.34718082,0.461066968,53,45.34718082,46,0.261066968,6.5,1.609632,4.6,0.0804816,4,
0.47,Texas,52.5107459,0.461202118,53,45.5107459,46,0.261202118,6.5,1.584276,4.7,0.0792138,4,
0.48,Texas,52.67400171,0.461298592,53,45.67400171,46,0.261298592,6.5,1.557504,4.8,0.0778752,4,
0.49,Texas,52.8370521,0.461356453,53,45.8370521,46,0.261356453,6.5,1.529388,4.9,0.0764694,4,
0.5,Texas,53,0.461375735,53,46,46,0.261375735,6.5,1.5,5,0.075,4,
