rank,state,state_comp,value,comp_pvi
6,New Mexico,Washington,51.2,-13.97840149
7,New Mexico,Oregon,51.1,-10.63313409
8,New Mexico,Illinois,50.3,-15.12454711
9,New Mexico,Minnesota,48.1,-1.821522496
10,New Mexico,Utah,46.9,32.06372464
1,New York,New Jersey,85.1,-13.20123044
2,New York,Connecticut,76.1,-13.91177299
3,New York,Maryland,75.8,-25.36538251
4,New York,Massachusetts,73.7,-26.97403839
5,New York,Virginia,73.5,-2.880027279
6,New York,Delaware,72.7,-14.74814097
7,New York,Rhode Island,71.8,-18.88398581
8,New York,Illinois,71.5,-15.12454711
9,New York,North Carolina,63.6,5.614413959
10,New York,Pennsylvania,63.4,1.22511585
1,North Carolina,Virginia,84.9,-2.880027279
2,North Carolina,South Carolina,84.2,16.71872913
3,North Carolina,Delaware,80,-14.74814097
4,North Carolina,Georgia,77.4,8.653037898
5,North Carolina,Florida,75.2,4.586909528
6,North Carolina,Pennsylvania,74.3,1.22511585
7,North Carolina,Ohio,71.9,9.673126597
8,North Carolina,Michigan,70.8,0.420226814
9,North Carolina,Illinois,69.5,-15.12454711
10,North Carolina,New Jersey,67.6,-13.20123044
1,North Dakota,South Dakota,86.9,31.44709825
2,North Dakota,Nebraska,86.5,29.50929736
3,North Dakota,Kansas,77.3,21.9404712
4,North Dakota,Montana,75.3,19.04432764
5,North Dakota,Utah,75.3,32.06372464
6,North Dakota,Oklahoma,70.9,37.50759662
7,North Dakota,Wisconsin,70.8,3.241616102
8,North Dakota,Minnesota,69.7,-1.821522496
9,North Dakota,Wyoming,69.3,48.09267157
10,North Dakota,Iowa,69.3,6.986805164
1,Ohio,Indiana,85.2,19.72467972
2,Ohio,Michigan,82.8,0.420226814
3,Ohio,Missouri,82.6,19.83970086
4,Ohio,Pennsylvania,81.4,1.22511585
5,Ohio,Tennessee,78.9,27.95210789
6,Ohio,Wisconsin,76.5,3.241616102
7,Ohio,Iowa,75.8,6.986805164
8,Ohio,North Carolina,71.9,5.614413959
9,Ohio,Kentucky,70.3,30.52236505
10,Ohio,Arkansas,70.3,31.71173634
1,Oklahoma,Arkansas,78.7,31.71173634
2,Oklahoma,Kansas,75.8,21.9404712
3,Oklahoma,Nebraska,73.1,29.50929736
4,Oklahoma,South Dakota,72.8,31.44709825
5,Oklahoma,Tennessee,71.2,27.95210789
6,Oklahoma,Missouri,71.2,19.83970086
7,Oklahoma,North Dakota,70.9,35.66519749
8,Oklahoma,Alabama,68.5,30.12071404
9,Oklahoma,Utah,65.4,32.06372464
10,Oklahoma,Indiana,63.5,19.72467972
1,Oregon,Washington,82.8,-13.97840149
2,Oregon,Utah,68.6,32.06372464
3,Oregon,Montana,67.4,19.04432764
4,Oregon,Idaho,64.8,36.87980388
5,Oregon,Kansas,62.9,21.9404712
6,Oregon,Wisconsin,62.5,3.241616102
7,Oregon,Nevada,62.1,0.008642973
8,Oregon,Nebraska,61.6,29.50929736
9,Oregon,North Dakota,60.9,35.66519749
10,Oregon,Rhode Island,60.9,-18.88398581
1,Pennsylvania,Michigan,86.9,0.420226814
2,Pennsylvania,Ohio,81.4,9.673126597
3,Pennsylvania,Wisconsin,79.3,3.241616102
4,Pennsylvania,New Hampshire,76.5,-0.561806883
5,Pennsylvania,Virginia,76,-2.880027279
6,Pennsylvania,North Carolina,74.3,5.614413959
7,Pennsylvania,Rhode Island,73.5,-18.88398581
8,Pennsylvania,Delaware,71.5,-14.74814097
9,Pennsylvania,Indiana,70.3,19.72467972
10,Pennsylvania,Florida,68.7,4.586909528
1,Rhode Island,Connecticut,82.1,-13.91177299
2,Rhode Island,Massachusetts,77,-26.97403839
3,Rhode Island,New Jersey,74.3,-13.20123044
4,Rhode Island,Pennsylvania,73.5,1.22511585
5,Rhode Island,Delaware,73.1,-14.74814097
6,Rhode Island,Vermont,72.8,-31.59664992
7,Rhode Island,New Hampshire,72.5,-0.561806883
