date,approve,disapprove,updated
04/01/2017,42.40273598603416,51.442900938273425,Mar. 29 2020 03:40 PM
04/02/2017,42.785850047577625,51.46394913199459,Mar. 29 2020 03:40 PM
04/03/2017,42.82447165348853,51.7774932663515,Mar. 29 2020 03:40 PM
04/04/2017,43.14504829607163,51.66976760412553,Mar. 29 2020 03:40 PM
04/05/2017,43.30227895811312,51.9061265937848,Mar. 29 2020 03:40 PM
04/06/2017,43.307309210335326,51.943573040675645,Mar. 29 2020 03:40 PM
04/07/2017,43.40627021967221,51.88018183193435,Mar. 29 2020 03:40 PM
04/08/2017,43.55204921090464,51.74363533033708,Mar. 29 2020 03:40 PM
04/09/2017,43.94064500455031,51.19131908344644,Mar. 29 2020 03:40 PM
04/10/2017,44.45247058122772,50.78889975003233,Mar. 29 2020 03:40 PM
04/11/2017,44.62871285936857,50.517367736028554,Mar. 29 2020 03:40 PM
04/12/2017,43.68855699367186,50.07855170515437,Mar. 29 2020 03:40 PM
04/13/2017,43.95175447351414,50.012149830270324,Mar. 29 2020 03:40 PM
04/14/2017,44.06985696275643,49.97240674735841,Mar. 29 2020 03:40 PM
04/15/2017,44.23997756407906,49.87941179567291,Mar. 29 2020 03:40 PM
04/16/2017,44.54407138412054,49.806443387249736,Mar. 29 2020 03:40 PM
04/17/2017,44.781491780779625,50.01246458246497,Mar. 29 2020 03:40 PM
04/18/2017,44.17786737287761,50.9911994055842,Mar. 29 2020 03:40 PM
04/19/2017,44.230629644754245,51.158805503003045,Mar. 29 2020 03:40 PM
04/20/2017,43.75508728479866,51.693433177821866,Mar. 29 2020 03:40 PM
04/21/2017,43.50997734703054,51.98618984196668,Mar. 29 2020 03:40 PM
04/22/2017,43.233636638415696,52.24179097556002,Mar. 29 2020 03:40 PM
04/23/2017,43.20084344239442,52.33162224129419,Mar. 29 2020 03:40 PM
04/24/2017,43.144511139352474,52.384832135621174,Mar. 29 2020 03:40 PM
04/25/2017,43.13302767305546,52.048714265770556,Mar. 29 2020 03:40 PM
04/26/2017,43.10711789357968,52.17900448034385,Mar. 29 2020 03:40 PM
04/27/2017,43.071920976466274,52.436251913637605,Mar. 29 2020 03:40 PM
04/28/2017,43.000520402868375,52.48081354136079,Mar. 29 2020 03:40 PM
04/29/2017,43.03604202136825,52.41044971696726,Mar. 29 2020 03:40 PM
04/30/2017,43.28516785047796,52.26695395748435,Mar. 29 2020 03:40 PM
05/01/2017,43.509614571634614,52.217483302406436,Mar. 29 2020 03:40 PM
05/02/2017,43.7919999384167,51.853131822465066,Mar. 29 2020 03:40 PM
05/03/2017,44.08777458329479,51.75468441924494,Mar. 29 2020 03:40 PM
05/04/2017,44.073432955643725,51.819991987666796,Mar. 29 2020 03:40 PM
05/05/2017,44.07751204165815,51.755926710970925,Mar. 29 2020 03:40 PM
05/06/2017,44.0442505642417,51.579390962460415,Mar. 29 2020 03:40 PM
05/07/2017,44.148182470199814,51.49183613053505,Mar. 29 2020 03:40 PM
05/08/2017,44.1913174462153,51.4958422112635,Mar. 29 2020 03:40 PM
05/09/2017,43.727181876873466,51.82553605031017,Mar. 29 2020 03:40 PM
05/10/2017,43.55303827819466,52.043923867039204,Mar. 29 2020 03:40 PM
05/11/2017,43.599161722661904,52.04794338021281,Mar. 29 2020 03:40 PM
05/12/2017,43.41096324373899,52.22466291002688,Mar. 29 2020 03:40 PM
05/13/2017,43.0478988558915,52.4752265512817,Mar. 29 2020 03:40 PM
05/14/2017,42.784277240516985,52.73365762405337,Mar. 29 2020 03:40 PM
05/15/2017,42.45601193683804,53.170166150862144,Mar. 29 2020 03:40 PM
05/16/2017,41.888255534030534,53.645242346153985,Mar. 29 2020 03:40 PM
05/17/2017,41.0679606881038,53.92262654910828,Mar. 29 2020 03:40 PM
05/18/2017,40.663151979468026,54.44702015952933,Mar. 29 2020 03:40 PM
05/19/2017,40.24231170159585,54.82282806229796,Mar. 29 2020 03:40 PM
05/20/2017,40.25714153573339,54.79955594814806,Mar. 29 2020 03:40 PM
