DATE,RPI,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.6499300292475749,ag2
2005-07-01,12222.897,2005-08-01,12204.910666666668,12142.992666666667,12131.942666666668,12088.507583333334,12044.221000000001,11992.211500000001,11948.816714285715,11903.559583333335,12057.145297619049,0.9621421002909689,12122.341,12029.712,11970.427,11898.458,11777.237,11673.666,11620.297,11549.941,0.006811363140722504,0.009416739708038468,0.013492890994337037,0.015972622951086146,0.022669493702130783,0.02728752904186238,0.028271197740102005,0.03061648395721983,0.019317290154437394,0.5133573455590972,2005-08-01,0.5541559596256309,,
2005-06-01,12212.817,2005-07-01,12171.392,12110.795166666669,12103.890444444445,12061.471000000003,12014.510333333335,11961.698666666669,11920.121476190476,11875.51975,12027.424854662699,0.9621049377867981,12080.643,12354.11,11959.694,11858.492,11730.978,11701.031,11574.945,11539.2,0.007511934588249947,-0.0196950515523443,0.012056867378416714,0.01711676324443312,0.024169539260352924,0.0222773246790533,0.029821003571980365,0.02914584633250117,0.015300528437830405,0.32231686161409995,2005-07-01,0.38047941399343616,,
2005-05-01,12179.018,2005-06-01,12127.334,12134.344,12075.765666666666,12031.943916666669,11982.387733333335,11933.266111111112,11889.746619047619,11847.452375,12002.780052728176,0.9623120575723324,12040.24,11945.706,11944.486,11844.274,11688.277,11690.647,11565.037,11498.265,0.007233576739334113,0.01579128098414606,0.010990817576132184,0.01584478007404,0.025162881863026954,0.020753266359946565,0.02807683356720947,0.03036870127797564,0.019277767305226373,0.5058992481267996,2005-06-01,0.5473913217127572,,
2005-04-01,12122.341,2005-05-01,12081.074666666667,12095.458666666667,12049.706555555556,12004.048583333335,11949.671666666667,11906.134388888888,11860.50942857143,11819.087666666666,11970.711452876985,0.9621573702258325,12029.712,11970.427,11898.458,11777.237,11673.666,11620.297,11549.941,11411.466,0.004269650567417349,0.010445046502239874,0.012711609819991532,0.01925847151868787,0.02364344385616901,0.024598113876855843,0.026889178790733936,0.0357203593882387,0.019691984290041764,0.5229028781331366,2005-05-01,0.562835104687018,,
2005-03-01,12080.643,2005-04-01,12050.198333333334,12070.139666666668,12024.830666666669,11975.289916666667,11919.76,11878.243055555555,11833.252285714285,11789.467875,11942.647724950399,0.9621919252239615,12354.11,11959.694,11858.492,11730.978,11701.031,11574.945,11539.2,11364.418,-0.02460004538300753,0.009234823789527447,0.014026966216840187,0.02082621897907133,0.018693139091760402,0.026202980278140053,0.02548290052293778,0.03740181635346396,0.015908599981091703,0.3435168334750876,2005-04-01,0.3997600236340761,,
2005-02-01,12040.24,2005-03-01,12141.354,12049.9815,12000.147222222222,11946.151166666668,11894.452533333333,11850.148722222222,11807.469285714285,11759.625166666667,11931.166199603174,0.9630296474857304,11945.706,11944.486,11844.274,11688.277,11690.647,11565.037,11498.265,11342.881,0.016378102725782773,0.008832150667680283,0.01316021752132901,0.02206263306958478,0.017433212493143557,0.02465290186466529,0.02689138628430343,0.03674059232982052,0.020768899619538705,0.5667711831321449,2005-03-01,0.6027946798915619,,
2005-01-01,12029.712,2005-02-01,12109.842666666666,12034.022500000001,11978.373222222224,11916.820916666666,11871.146333333332,11823.748555555554,11781.660952380953,11730.568541666667,11905.772961061506,0.9632002384171106,11970.427,11898.458,11777.237,11673.666,11620.297,11549.941,11411.466,11374.851,0.011646674480924268,0.011393451151401335,0.017078387929378103,0.020829353578101895,0.02158717056313897,0.023706402963924456,0.03244061300984047,0.031272281427393356,0.021244291888012856,0.5852455351315994,2005-02-01,0.6196050536121004,,
2004-12-01,12354.11,2005-01-01,12090.081,12012.146833333334,11950.320444444445,11887.15041666667,11843.852,11797.094611111112,11752.220666666668,11703.282666666668,11879.518579861113,0.9633265318365601,11959.694,11858.492,11730.978,11701.031,11574.945,11539.2,11364.418,11396.951,0.010902202012860851,0.012957367035651313,0.0186977116864806,0.01590624079764158,0.023231816652260706,0.022349435932396577,0.03412428746167806,0.02687838762022121,0.020630931149898862,0.5539502988919082,2005-01-01,0.5911663200686946,,
2004-11-01,11945.706,2004-12-01,11958.609000000002,11929.543833333335,11881.083555555557,11832.727166666666,11791.907666666666,11751.821833333333,11705.092476190479,11663.40104166667,11814.273321676588,0.9615350345752192,11944.486,11844.274,11688.277,11690.647,11565.037,11498.265,11342.881,11365.197,0.0011823865840692172,0.007199245249927211,0.016495720930942648,0.01215331937288533,0.019616942571534013,0.022051747227371576,0.031932934515532585,0.02623835219632964,0.017108831081074027,0.3888644856773073,2004-12-01,0.4409254446680265,,
2004-10-01,11970.427,2004-11-01,11958.202333333335,11912.638500000001,11852.480333333333,11811.47225,11766.529733333335,11726.964,11676.386523809526,11639.213166666666,11792.985855059525,0.9618685420200144,11898.458,11777.237,11673.666,11620.297,11549.941,11411.466,11374.851,11338.134,0.0050211828569159955,0.011496881653990876,0.015317753080594798,0.016451838537345553,0.018752367075583587,0.02764745563803972,0.02650896471606745,0.02655456062405559,0.018468875522824196,0.4474855050282218,2004-11-01,0.49424759930020296,,
