DATE,T10Y2YM,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.26797085473731763,ag2
2018-11-01,0.26,2018-12-01,0.26,0.2816666666666667,0.3566666666666667,0.4166666666666667,0.4853333333333334,0.5527777777777777,0.6276190476190476,0.7045833333333333,0.4606641865079365,0.156109103446947,0.25,0.47,0.68,0.65,0.87,1.0,1.22,1.16,0.040000000000000036,-0.400709219858156,-0.47549019607843135,-0.3589743589743589,-0.44214559386973173,-0.4472222222222223,-0.4855581576893052,-0.39260057471264365,-0.3703375404256061,0.5557140943844064,2018-12-01,0.2893107670927668,,
2018-10-01,0.29,2018-11-01,0.25666666666666665,0.3166666666666667,0.4033333333333334,0.4491666666666667,0.5260000000000001,0.5938888888888889,0.6733333333333335,0.7420833333333334,0.49514236111111115,0.16693687861587458,0.28,0.49,0.55,0.81,0.95,1.06,1.22,0.92,-0.08333333333333348,-0.3537414965986394,-0.2666666666666666,-0.4454732510288065,-0.446315789473684,-0.439727463312369,-0.448087431693989,-0.19338768115942018,-0.33459163915836354,0.5605497482598353,2018-11-01,0.2981411684971948,,
2018-09-01,0.23,2018-10-01,0.25333333333333335,0.35000000000000003,0.4322222222222223,0.49250000000000016,0.5700000000000002,0.6366666666666668,0.7176190476190478,0.7683333333333335,0.5275843253968255,0.17773977344584335,0.38,0.56,0.56,0.82,0.85,1.17,1.29,0.86,-0.33333333333333326,-0.375,-0.22817460317460314,-0.3993902439024388,-0.3294117647058822,-0.4558404558404556,-0.443706164636397,-0.10658914728682145,-0.3339307141099915,0.5610087075034192,2018-10-01,0.30549608479836865,,
2018-08-01,0.25,2018-09-01,0.30333333333333334,0.40499999999999997,0.46888888888888897,0.5416666666666669,0.6113333333333334,0.688888888888889,0.7680952380952382,0.7945833333333335,0.5727237103174604,0.1931091057909176,0.47,0.68,0.65,0.87,1.0,1.22,1.16,0.82,-0.35460992907801414,-0.40441176470588247,-0.27863247863247853,-0.3773946360153254,-0.3886666666666666,-0.43533697632058277,-0.33784893267651883,-0.03099593495934927,-0.3259871648818523,0.5622073541445469,2018-09-01,0.3161418552421274,,
2018-07-01,0.28,2018-08-01,0.37666666666666665,0.4766666666666666,0.5133333333333333,0.5933333333333334,0.6613333333333333,0.7427777777777779,0.8114285714285716,0.8183333333333335,0.6242341269841271,0.21143142982662544,0.49,0.55,0.81,0.95,1.06,1.22,0.92,0.83,-0.23129251700680276,-0.13333333333333353,-0.3662551440329219,-0.375438596491228,-0.37610062893081764,-0.39116575591985414,-0.11801242236024834,-0.014056224899598235,-0.25070682787185056,0.5722639576728656,2018-08-01,0.3317089391087055,,
2018-06-01,0.38,2018-07-01,0.4466666666666666,0.5216666666666666,0.5722222222222223,0.6491666666666668,0.7133333333333334,0.7950000000000002,0.841904761904762,0.84125,0.6726512896825398,0.22957180256970308,0.56,0.56,0.82,0.85,1.17,1.29,0.86,0.91,-0.20238095238095255,-0.06845238095238115,-0.3021680216802166,-0.2362745098039214,-0.3903133903133903,-0.38372093023255804,-0.02104097452934639,-0.0755494505494505,-0.20998757630527712,0.5777181637725866,2018-07-01,0.34562058963733094,,
2018-05-01,0.47,2018-06-01,0.5066666666666667,0.5516666666666666,0.6211111111111111,0.6883333333333334,0.766,0.8455555555555557,0.864761904761905,0.8633333333333334,0.7134285714285715,0.24563899539485806,0.68,0.65,0.87,1.0,1.22,1.16,0.82,0.99,-0.2549019607843137,-0.1512820512820513,-0.2860791826309068,-0.31166666666666665,-0.37213114754098353,-0.27107279693486575,0.054587688734030415,-0.12794612794612792,-0.2150615306314857,0.5771996088765184,2018-06-01,0.35615919988874484,,
2018-04-01,0.49,2018-05-01,0.5766666666666667,0.5816666666666667,0.6655555555555557,0.7325,0.8160000000000002,0.8838888888888891,0.8814285714285717,0.8850000000000001,0.7528382936507937,0.26170681569493187,0.55,0.81,0.95,1.06,1.22,0.92,0.83,1.04,0.04848484848484835,-0.28189300411522633,-0.29941520467836236,-0.3089622641509434,-0.33114754098360644,-0.03925120772946844,0.06196213425129127,-0.14903846153846145,-0.1624075875574911,0.5842013283880942,2018-05-01,0.3692049865926526,,
2018-03-01,0.56,2018-04-01,0.5966666666666668,0.6350000000000001,0.7166666666666668,0.7800000000000001,0.8646666666666668,0.907777777777778,0.8976190476190476,0.9079166666666666,0.7882891865079368,0.27667198898384415,0.56,0.82,0.85,1.17,1.29,0.86,0.91,1.01,0.06547619047619069,-0.22560975609756073,-0.1568627450980391,-0.33333333333333315,-0.32971576227390176,0.0555555555555558,-0.013605442176870763,-0.1010726072607262,-0.12989598752608567,0.5885092344594669,2018-04-01,0.3806177374757184,,
2018-02-01,0.68,2018-03-01,0.5966666666666667,0.6783333333333333,0.7488888888888889,0.8308333333333334,0.9133333333333336,0.9244444444444446,0.9142857142857144,0.9266666666666667,0.8166815476190478,0.28914563033303753,0.65,0.87,1.0,1.22,1.16,0.82,0.99,1.05,-0.08205128205128209,-0.22030651340996166,-0.25111111111111106,-0.31898907103825125,-0.21264367816091934,0.1273712737127375,-0.07647907647907637,-0.11746031746031738,-0.14395872199977272,0.5868158709699105,2018-03-01,0.38836904387866183,,
