Date,Price,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.6616936836405538,ag2
1976-05-01 00:00:00,101.2,1976-05-01,101.40000000000002,98.39333333333336,94.85222222222222,93.68916666666667,92.19133333333333,89.03333333333332,86.28095238095236,85.70958333333333,92.69374057539682,0.7731278248624853,100.6,90.07,85.71,90.1,80.1,71.74,76.03,89.67,0.007952286282306487,0.09240960734243764,0.10666459248888382,0.03983536810950805,0.15095297544735753,0.2410556639717496,0.13482773090822509,-0.04416657373331856,0.09119145635214371,0.8338533066198119,1976-05-01,0.8251782377973368,,
1976-04-01 00:00:00,101.9,1976-04-01,101.2,96.53833333333334,93.13111111111111,92.76416666666665,90.78466666666665,87.39666666666665,85.08238095238094,85.22916666666666,91.5158115079365,0.7572158496752048,96.86,88.57,92.49,84.72,72.56,69.44,79.31,92.46,0.04480693784844103,0.08996650483609958,0.00693168030177449,0.09495003147623526,0.25116685042263853,0.2585925499231949,0.07278251106267741,-0.07820498954502852,0.09262400954075409,0.8351667693133226,1976-04-01,0.8240309236507343,,
1976-03-01 00:00:00,101.1,1976-03-01,99.52,94.31666666666666,92.08555555555556,91.3325,88.82866666666665,85.59333333333332,84.00666666666665,84.83583333333333,90.06490277777777,0.7364189776505042,88.7,84.67,92.4,83.78,67.07,68.12,89.79,97.44,0.12198421645997737,0.11393252234164009,-0.003403078403078408,0.090146813081881,0.32441727548332566,0.2565081229203363,-0.06440954820507139,-0.12935310618500284,0.08872790218675097,0.8151479807974912,1976-03-01,0.8039009803479216,,
1976-02-01 00:00:00,100.6,1976-02-01,95.38666666666666,91.57833333333332,91.11888888888888,89.88916666666667,86.55999999999999,83.7611111111111,83.46809523809523,84.68333333333332,88.30569940476188,0.7097235472526232,90.07,85.71,90.1,80.1,71.74,76.03,89.67,93.45,0.059028163280411494,0.06846731225450142,0.011308422740165192,0.1222118185601333,0.20657931419013087,0.10168500738012765,-0.06916365297094651,-0.09381130729445353,0.050788134767508736,0.6148963385930324,1976-02-01,0.6284430826872597,,
1976-01-01 00:00:00,96.86,1976-01-01,91.87666666666667,89.09666666666668,89.95222222222223,88.18083333333334,84.636,82.39611111111111,82.94761904761904,84.38541666666667,86.68394196428571,0.684394759454714,88.57,92.49,84.72,72.56,69.44,79.31,92.46,96.11,0.037333935493583326,-0.03668865102533592,0.06175899695729736,0.21528160602719604,0.21883640552995387,0.03891200493142244,-0.10288103993490105,-0.1219912946970485,0.038820245410270945,0.5379416324795196,1976-01-01,0.5588635077616902,,
1975-12-01 00:00:00,88.7,1975-12-01,89.11333333333333,88.36833333333333,88.60333333333332,86.15583333333332,82.80799999999999,81.42111111111109,82.73809523809523,84.35416666666666,85.44527579365077,0.6651465163215129,84.67,92.4,83.78,67.07,68.12,89.79,97.44,94.78,0.05247824888783903,-0.0436327561327563,0.057571417203787556,0.28456587644749254,0.21561949500880773,-0.093205132964572,-0.150881617014622,-0.11000035169163691,0.026564397468042455,0.45959368431036896,1975-12-01,0.48895837459767527,,
1975-11-01 00:00:00,90.07,1975-11-01,87.77,88.985,88.05666666666667,84.35333333333334,81.43599999999999,81.48166666666665,83.15428571428572,84.6075,84.98055654761905,0.6593692195598528,85.71,90.1,80.1,71.74,76.03,89.67,93.45,102.0,0.02403453506008635,-0.012375138734739166,0.09933416562630071,0.17582009106960328,0.07110351177166896,-0.09131630794394274,-0.11017350760528932,-0.17051470588235296,-0.0017609195798331118,0.2978475384908741,1975-11-01,0.3494934929292996,,
1975-10-01 00:00:00,88.57,1975-10-01,86.31666666666666,88.99000000000001,86.9488888888889,82.82583333333334,80.50000000000001,81.45944444444446,83.31523809523812,85.10458333333334,84.4325818452381,0.6521592561936663,92.49,84.72,72.56,69.44,79.31,92.46,96.11,109.8,-0.06674595451760545,0.05040132200188863,0.19830331985789562,0.1927683371735791,0.015004413062665645,-0.11897637416780815,-0.13312622937011642,-0.22491272009714625,-0.01091048575708091,0.2514982105370849,1975-10-01,0.3087355027737394,,
1975-09-01 00:00:00,84.67,1975-09-01,87.62333333333333,88.34833333333334,85.17,81.23166666666667,79.88266666666667,81.67555555555556,83.67428571428572,85.98916666666668,84.1993759920635,0.6505184242963253,92.4,83.78,67.07,68.12,89.79,97.44,94.78,105.6,-0.05169552669552668,0.05452773135991107,0.26986730281795146,0.1924789587003326,-0.11033893900582847,-0.16178617040685994,-0.11717360504024354,-0.1857086489898988,-0.01372861215752029,0.23760282702302693,1975-09-01,0.296590769490641,,
1975-08-01 00:00:00,85.71,1975-08-01,90.2,88.2,83.21444444444445,79.8525,80.224,82.38500000000002,84.1557142857143,86.86125,84.38661359126986,0.6562323376684441,90.1,80.1,71.74,76.03,89.67,93.45,102.0,103.8,0.0011098779134295356,0.101123595505618,0.15994486262119412,0.050276206760489384,-0.10534180885468936,-0.11840556447298001,-0.1749439775910363,-0.1631864161849711,-0.031177903037868215,0.16698887016353847,1975-08-01,0.23688079409281068,,
