DATE,A191RO1Q156NBEA,model date,1,2,3,4,6,8,average,normalize,0.5738507912382249,k2
1995-04-01,2.4,1995-07-01,2.4,2.95,3.3333333333333335,3.575,3.65,3.35,3.209722222222222,0.49206489702010786,,
1995-01-01,3.5,1995-04-01,3.5,3.8,3.9666666666666663,4.0249999999999995,3.683333333333333,3.4,3.729166666666666,0.5840569762426958,,
1994-10-01,4.1,1995-01-01,4.1,4.199999999999999,4.199999999999999,3.9999999999999996,3.483333333333333,3.375,3.8930555555555553,0.6189706366841662,,
1994-07-01,4.3,1994-10-01,4.3,4.25,3.966666666666667,3.625,3.266666666666667,3.4125000000000005,3.803472222222222,0.614124266372111,,
1994-04-01,4.2,1994-07-01,4.2,3.8,3.4,3.125,3.1,3.3375,3.49375,0.5760683594098394,,
1994-01-01,3.4,1994-04-01,3.4,3.0,2.766666666666667,2.7750000000000004,3.133333333333334,3.2125000000000004,3.047916666666667,0.5155751066509628,,
1993-10-01,2.6,1994-01-01,2.6,2.45,2.566666666666667,2.75,3.1833333333333336,3.15,2.783333333333333,0.48157400533772216,,
1993-07-01,2.3,1993-10-01,2.3,2.55,2.7999999999999994,3.1999999999999997,3.283333333333333,2.9749999999999996,2.8513888888888883,0.4960260455635757,,
1993-04-01,2.8,1993-07-01,2.8,3.05,3.5,3.55,3.383333333333333,2.6749999999999994,3.159722222222222,0.5400578895543096,,
1993-01-01,3.3,1993-04-01,3.3,3.85,3.8000000000000003,3.6500000000000004,3.1166666666666667,2.2624999999999997,3.329861111111111,0.5619301561222778,,
1992-10-01,4.4,1993-01-01,4.4,4.050000000000001,3.766666666666667,3.5500000000000003,2.5500000000000003,1.725,3.3402777777777786,0.5571602249089733,,
1992-07-01,3.7,1992-10-01,3.7,3.45,3.266666666666667,2.75,1.7333333333333334,1.25,2.691666666666667,0.45378627413151257,,
1992-04-01,3.2,1992-07-01,3.2,3.05,2.433333333333333,1.8,0.9500000000000001,1.0,2.0722222222222224,0.3601930054287884,,
1992-01-01,2.9,1992-04-01,2.9,2.05,1.3333333333333333,0.8749999999999999,0.5166666666666666,0.8999999999999999,1.4291666666666665,0.2734397117260774,,
1991-10-01,1.2,1992-01-01,1.2,0.5499999999999999,0.19999999999999996,-0.10000000000000003,0.31666666666666665,0.8875,0.5090277777777777,0.17174998209696815,,
1991-07-01,-0.1,1991-10-01,-0.1,-0.3,-0.5333333333333333,-0.25,0.5166666666666666,1.075,0.06805555555555554,0.13083679938198023,,
1991-04-01,-0.5,1991-07-01,-0.5,-0.75,-0.3,0.19999999999999998,1.0,1.575,0.20416666666666664,0.13521233284511103,,
1991-01-01,-1.0,1991-04-01,-1.0,-0.2,0.4333333333333333,0.9249999999999999,1.5333333333333332,2.1,0.6319444444444444,0.16548699889735238,,
1990-10-01,0.6,1991-01-01,0.6,1.15,1.5666666666666664,1.8749999999999998,2.35,2.7625,1.7173611111111111,0.2757837544235201,,
1990-07-01,1.7,1990-10-01,1.7,2.05,2.3,2.4,2.8666666666666667,3.1625,2.413194444444444,0.3657272859071036,,
1990-04-01,2.4,1990-07-01,2.4,2.5999999999999996,2.6333333333333333,2.9499999999999997,3.3000000000000003,3.475,2.8930555555555557,0.4407640387695666,,
1990-01-01,2.8,1990-04-01,2.8,2.75,3.1333333333333333,3.2750000000000004,3.5333333333333337,3.7375000000000003,3.204861111111111,0.49160223768460226,,
1989-10-01,2.7,1990-01-01,2.7,3.3,3.4333333333333336,3.6500000000000004,3.766666666666667,3.9125,3.460416666666667,0.5346137943989262,,
1989-07-01,3.9,1989-10-01,3.9,3.8,3.9666666666666663,3.925,4.066666666666666,4.137499999999999,3.965972222222222,0.6121691985332334,,
1989-04-01,3.7,1989-07-01,3.7,4.0,3.9333333333333336,4.0,4.116666666666666,4.0625,3.96875,0.6158859583159721,,
1989-01-01,4.3,1989-04-01,4.3,4.05,4.1000000000000005,4.2,4.25,4.025,4.154166666666666,0.6431011988205002,,
1988-10-01,3.8,1989-01-01,3.8,4.0,4.166666666666667,4.175,4.083333333333333,3.8249999999999997,4.008333333333333,0.6250262443513248,,
1988-07-01,4.2,1988-10-01,4.2,4.35,4.3,4.35,4.016666666666667,3.7124999999999995,4.154861111111111,0.6440605653427063,,
1988-04-01,4.5,1988-07-01,4.5,4.35,4.3999999999999995,4.125,3.766666666666666,3.5749999999999997,4.1194444444444445,0.6374853638957544,,
1988-01-01,4.2,1988-04-01,4.2,4.35,4.0,3.85,3.5,3.475,3.895833333333334,0.6043646610795959,,
