DATE,UNRATE,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.7916089527029311,ag2
2018-10-01,3.8,2018-11-01,3.766666666666667,3.816666666666667,3.888888888888889,3.9500000000000006,4.006666666666667,4.061111111111112,4.1190476190476195,4.191666666666667,3.975089285714286,0.8760158122999578,3.8,4.0,4.1,4.1,4.3,4.4,4.7,4.9,-0.008771929824561209,-0.04583333333333328,-0.051490514905149,-0.03658536585365835,-0.06821705426356584,-0.07702020202020199,-0.1236068895643363,-0.14455782312925158,-0.06951038911175719,0.7657237115714585,2018-11-01,0.8208697619357082,,
2018-09-01,3.7,2018-10-01,3.766666666666667,3.85,3.9222222222222225,3.975000000000001,4.040000000000001,4.094444444444445,4.161904761904763,4.237500000000002,4.005967261904763,0.8729280773412248,4.0,4.0,4.1,4.2,4.3,4.4,4.7,5.0,-0.05833333333333324,-0.03749999999999998,-0.043360433604335946,-0.05357142857142838,-0.060465116279069475,-0.06944444444444442,-0.11448834853090151,-0.15249999999999964,-0.07370788809543907,0.7782926459628373,2018-10-01,0.825610361652031,,
2018-08-01,3.8,2018-09-01,3.8666666666666667,3.9,3.966666666666667,4.0166666666666675,4.08,4.133333333333335,4.2095238095238106,4.291666666666668,4.058065476190476,0.8670666842081932,3.8,4.1,4.2,4.4,4.4,4.6,4.7,4.9,0.01754385964912286,-0.04878048780487798,-0.05555555555555558,-0.08712121212121204,-0.07272727272727275,-0.10144927536231851,-0.10435663627152969,-0.12414965986394544,-0.07207453000719864,0.7739939256118504,2018-09-01,0.8205303049100219,,
2018-07-01,3.8,2018-08-01,3.8666666666666667,3.9500000000000006,4.011111111111112,4.066666666666667,4.12,4.177777777777778,4.252380952380953,4.337500000000001,4.097762896825397,0.8625895741353136,4.0,4.1,4.1,4.3,4.4,4.7,4.9,4.8,-0.033333333333333326,-0.03658536585365835,-0.021680216802167696,-0.05426356589147263,-0.06363636363636371,-0.11111111111111105,-0.13216715257531575,-0.09635416666666641,-0.06864140948376111,0.7640196278494334,2018-08-01,0.8133046009923734,,
2018-06-01,4.0,2018-07-01,3.9333333333333336,4.0,4.044444444444445,4.108333333333333,4.16,4.227777777777778,4.3047619047619055,4.379166666666667,4.144727182539683,0.8569947835626612,4.0,4.1,4.2,4.3,4.4,4.7,5.0,4.9,-0.016666666666666607,-0.024390243902438935,-0.03703703703703687,-0.04457364341085268,-0.054545454545454564,-0.10047281323877066,-0.13904761904761886,-0.10629251700680264,-0.06537824935695523,0.753934841460707,2018-07-01,0.8054648125116841,,
2018-05-01,3.8,2018-06-01,3.9333333333333336,4.016666666666667,4.066666666666666,4.133333333333333,4.186666666666666,4.266666666666667,4.352380952380953,4.416666666666667,4.171547619047619,0.8539921477959516,4.1,4.2,4.4,4.4,4.6,4.7,4.9,4.8,-0.04065040650406493,-0.04365079365079372,-0.07575757575757591,-0.060606060606060774,-0.08985507246376823,-0.09219858156028371,-0.11175898931000972,-0.07986111111111105,-0.0742923238704585,0.7808744441096995,2018-06-01,0.8174332959528255,,
2018-04-01,4.0,2018-05-01,4.033333333333333,4.083333333333333,4.133333333333333,4.183333333333333,4.239999999999999,4.316666666666666,4.404761904761905,4.458333333333333,4.2316369047619045,0.8462893389355388,4.1,4.1,4.3,4.4,4.7,4.9,4.8,5.0,-0.016260162601625994,-0.004065040650406471,-0.03875968992248069,-0.04924242424242442,-0.09787234042553206,-0.11904761904761918,-0.08234126984126977,-0.10833333333333339,-0.0644902350080865,0.7514994325848414,2018-05-01,0.7988943857601901,,
2018-03-01,4.0,2018-04-01,4.066666666666666,4.099999999999999,4.166666666666666,4.216666666666666,4.286666666666665,4.366666666666666,4.442857142857143,4.5,4.268273809523809,0.8417108565182768,4.1,4.2,4.3,4.4,4.7,5.0,4.9,5.0,-0.008130081300812941,-0.02380952380952417,-0.03100775193798455,-0.04166666666666696,-0.08794326241134787,-0.1266666666666667,-0.09329446064139946,-0.09999999999999998,-0.06406480167930033,0.750257429613933,2018-04-01,0.795984143066105,,
2018-02-01,4.1,2018-03-01,4.1,4.133333333333334,4.199999999999999,4.249999999999999,4.333333333333333,4.4222222222222225,4.485714285714287,4.541666666666667,4.30828373015873,0.836520292326431,4.2,4.4,4.4,4.6,4.7,4.9,4.8,4.9,-0.023809523809523947,-0.06060606060606055,-0.04545454545454575,-0.07608695652173925,-0.07801418439716323,-0.0975056689342404,-0.06547619047619024,-0.0731292517006803,-0.06501029773751796,0.7534563757524628,2018-03-01,0.7949883340394469,,
2018-01-01,4.1,2018-02-01,4.133333333333333,4.183333333333334,4.233333333333333,4.291666666666667,4.373333333333334,4.466666666666668,4.51904761904762,4.575000000000001,4.346964285714287,0.8313956633794091,4.1,4.3,4.4,4.7,4.9,4.8,5.0,4.9,0.008130081300812941,-0.02713178294573637,-0.037878787878787956,-0.08687943262411346,-0.10748299319727883,-0.0694444444444442,-0.09619047619047605,-0.0663265306122447,-0.06040054582403358,0.7389575304014375,2018-02-01,0.7851765968904233,,
2017-12-01,4.1,2018-01-01,4.133333333333334,4.216666666666667,4.266666666666667,4.341666666666667,4.426666666666667,4.505555555555556,4.561904761904763,4.608333333333334,4.382599206349207,0.8266265512182975,4.2,4.3,4.4,4.7,5.0,4.9,5.0,5.0,-0.015873015873015817,-0.019379844961240233,-0.030303030303030387,-0.07624113475177308,-0.1146666666666667,-0.08049886621315183,-0.08761904761904749,-0.07833333333333314,-0.06286436746515733,0.7468147928925879,2018-01-01,0.7867206720554427,,
2017-11-01,4.2,2017-12-01,4.166666666666667,4.25,4.3,4.391666666666667,4.486666666666667,4.550000000000001,4.604761904761905,4.645833333333335,4.424449404761905,0.8207883022607263,4.4,4.4,4.6,4.7,4.9,4.8,4.9,5.1,-0.053030303030303094,-0.03409090909090917,-0.06521739130434778,-0.06560283687943269,-0.08435374149659858,-0.05208333333333315,-0.06025267249757038,-0.08905228758169903,-0.06296043440177423,0.7473694224834864,2017-12-01,0.7840788623721063,,
2017-10-01,4.1,2017-11-01,4.233333333333333,4.283333333333334,4.344444444444445,4.4333333333333345,4.533333333333334,4.583333333333334,4.638095238095239,4.6833333333333345,4.466567460317462,0.8147734161622493,4.3,4.4,4.7,4.9,4.8,5.0,4.9,5.0,-0.015503875968992165,-0.02651515151515138,-0.07565011820330958,-0.09523809523809512,-0.05555555555555536,-0.08333333333333326,-0.05344995140913489,-0.06333333333333313,-0.05857242681961311,0.7335321137881892,2017-11-01,0.7741527649752192,,
2017-09-01,4.2,2017-10-01,4.300000000000001,4.333333333333333,4.411111111111111,4.500000000000001,4.58,4.633333333333334,4.676190476190477,4.720833333333334,4.519350198412698,0.8068648905797416,4.3,4.4,4.7,5.0,4.9,5.0,5.0,5.0,0.0,-0.015151515151515249,-0.0614657210401891,-0.09999999999999987,-0.0653061224489796,-0.07333333333333325,-0.06476190476190458,-0.05583333333333318,-0.05448149125865685,0.7203500772318278,2017-10-01,0.7636074839057847,,
