observation_date,INDPRO,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.5218356136284106,ag2
1997-01-01,79.8273,1997-02-01,79.5804,78.96948333333334,78.45178888888888,77.84331666666667,77.25793999999999,76.82552777777778,76.37602380952382,75.99867916666668,77.66289495535715,0.9901847906731429,78.5065,77.5662,76.4562,74.6841,74.7017,73.5664,73.3612,73.4219,0.013679122110908049,0.01809142813923259,0.026101073410513376,0.04230106095764241,0.03421930156877262,0.04430185217406013,0.04109561743160994,0.03509551192037641,0.03186062096413944,0.7815448313039255,1997-02-01,0.8005121003374907,,
1996-12-01,79.7143,1997-01-01,79.14013333333334,78.59263333333334,78.07722222222223,77.41471666666666,76.91623333333334,76.4777,76.0681142857143,75.73178750000001,77.30231758432541,0.9897490417281615,78.5532,77.6669,75.7631,75.1755,74.7937,73.8602,73.4081,73.2879,0.007471794062283044,0.01191927749573285,0.030544186051286726,0.0297865217613007,0.028378504250135217,0.035438571788324325,0.03623597785141275,0.03334639824582242,0.026640153938287253,0.6911220127780617,1997-01-01,0.7182699245007981,,
1996-11-01,79.1996,1996-12-01,78.7531,78.2514,77.6382,77.03648333333332,76.58819333333332,76.15247222222223,75.76781904761906,75.46402083333335,76.95646109623016,0.9893175783167155,78.016,77.0161,75.8344,74.8897,74.495,73.6104,73.3025,72.5263,0.009448061936013108,0.01603950342850413,0.023786039053516506,0.028665935814048193,0.02809844061122657,0.03453414493362672,0.033632127793991495,0.04050559360305628,0.026838730896747875,0.694342903756419,1996-12-01,0.7211587832619005,,
1996-10-01,78.5065,1996-11-01,78.35856666666668,77.88748333333334,77.26428888888888,76.677325,76.27455333333334,75.84196111111112,75.48700476190477,75.18596666666669,76.6221437202381,0.9888846436632904,77.5662,76.4562,74.6841,74.7017,73.5664,73.3612,73.4219,72.082,0.010215360126790696,0.018720304348546435,0.03454803484126989,0.026446854623120908,0.03681236724011705,0.03381571063601907,0.02812655027866051,0.043061605763806465,0.02896834848229138,0.7329209401431533,1996-11-01,0.7561903677358931,,
1996-09-01,78.5532,1996-10-01,78.04513333333334,77.54576666666667,76.83957777777778,76.36025833333333,75.94521333333334,75.55611111111112,75.24488095238097,74.9182791666667,76.30690258432541,0.9884850430169486,77.6669,75.7631,75.1755,74.7937,73.8602,73.4081,73.2879,71.4767,0.004869942450816733,0.02352948423001,0.022135905684402157,0.020945057315433502,0.02822918612911063,0.029261227454614902,0.026702647399925228,0.04814966508899676,0.02547788946916374,0.6697952074451565,1996-10-01,0.6987670106789559,,
1996-08-01,78.016,1996-09-01,77.7497,77.08075000000001,76.46427777777778,76.04696666666666,75.63234666666668,75.27027222222223,74.9941523809524,74.62342500000001,75.98273633928571,0.9880127181718792,77.0161,75.8344,74.8897,74.495,73.6104,73.3025,72.5263,71.2053,0.009525281077592984,0.016435153439600114,0.021025291565833104,0.020833165536836784,0.027468220070352656,0.02684454448650775,0.03402699959810973,0.048003800278912045,0.025520307006718146,0.671465227545815,1996-09-01,0.7002422721481844,,
1996-07-01,77.5662,1996-08-01,77.4164,76.71714999999999,76.1169111111111,75.75354999999999,75.33864,75.00841111111112,74.7327380952381,74.33964583333334,75.6779307688492,0.9875778098145247,76.4562,74.6841,74.7017,73.5664,73.3612,73.4219,72.082,70.7846,0.012558824529599999,0.027221992365175307,0.018944831390866446,0.0297302844776961,0.026954848066825576,0.021608145677394885,0.036773925463196244,0.050223436076962225,0.028002036005964598,0.7187665219141152,1996-08-01,0.7432039117232434,,
1996-06-01,77.6669,1996-07-01,77.04639999999999,76.2368,75.79863333333331,75.42023333333333,75.05830666666665,74.77817222222222,74.47158571428571,74.05707916666667,75.35840130456347,0.9870432620466689,75.7631,75.1755,74.7937,73.8602,73.4081,73.2879,71.4767,70.6763,0.01693832485735136,0.014117631409169329,0.013436069258952354,0.02112143391614585,0.02247989890307256,0.020334492081533595,0.04190016766702587,0.04783469376108629,0.02477033898179215,0.6603907610392381,1996-07-01,0.6900864429490046,,
1996-05-01,77.0161,1996-06-01,76.41179999999999,75.82156666666667,75.47938888888888,75.10300833333334,74.77438666666667,74.53489444444445,74.1768142857143,73.76580416666668,75.00845793154762,0.9863261505043726,75.8344,74.8897,74.495,73.6104,73.3025,72.5263,71.2053,70.2281,0.007613958836622636,0.01244318867169536,0.013214160532772246,0.020277139281043688,0.02007962438752675,0.02769470446506217,0.04173164477523872,0.05037448210426709,0.024178612881778583,0.6507366664375157,1996-06-01,0.6812448013526845,,
1996-04-01,76.4562,1996-05-01,76.0179,75.46716666666667,75.19926666666666,74.8192,74.52681333333334,74.28546111111112,73.90010952380952,73.48297083333334,74.71236101686507,0.9857982963102987,74.6841,74.7017,73.5664,73.3612,73.4219,72.082,70.7846,69.8703,0.01785922304747589,0.01024697786886608,0.02219582128072939,0.019874265960753146,0.01504882512347594,0.03056881206280515,0.044013945460022574,0.05170538602715813,0.026439157103910788,0.6956672277692326,1996-05-01,0.7220427794547841,,
1996-03-01,75.7631,1996-04-01,75.4272,75.17475,74.8781777777778,74.56128333333334,74.32452666666667,74.04244999999999,73.63003333333333,73.20855833333333,74.40587243055556,0.9851791167998822,75.1755,74.7937,73.8602,73.4081,73.2879,71.4767,70.6763,69.4766,0.0033481652932139117,0.005094680434314602,0.013782494195490713,0.015709211018039237,0.014144581392926847,0.035896313064257335,0.041792416033851865,0.053715327654682676,0.02293539863584715,0.6311061701614539,1996-04-01,0.6632946198558565,,
1996-02-01,75.8344,1996-03-01,75.23133333333334,75.01318333333334,74.66674444444445,74.36503333333334,74.15951333333334,73.80431666666668,73.38780476190477,72.94662083333334,74.19681875496033,0.9850005333944415,74.8897,74.495,73.6104,73.3025,72.5263,71.2053,70.2281,68.7836,0.004561820027765284,0.006955947826476239,0.014350478253676746,0.014495185475711603,0.0225189115304838,0.036500326052508525,0.04499202971324556,0.06052345084196431,0.02561226871522901,0.6846021703233585,1996-03-01,0.7119111124207297,,
1996-01-01,74.6841,1996-02-01,74.91643333333333,74.78995,74.41963333333334,74.15404166666666,73.93897333333332,73.54714444444444,73.1208380952381,72.6528375,73.94248146329365,0.9845793626371464,74.7017,73.5664,73.3612,73.4219,72.082,70.7846,69.8703,68.7648,0.0028745441313025033,0.01663191348224191,0.014427699292450802,0.009971706897624166,0.025761956290520915,0.03902747835608933,0.04652245797195809,0.0565411009702641,0.026469857174056477,0.7023892678216925,1996-02-01,0.7280429128049156,,
