district,label,row,column,53
UT01,,15,10,
UT02,,16,10,
UT03,,17,10,
UT04,,18,10,
VA,VA,16,36,
VA01,,16,37,
VA02,,17,35,
VA03,,17,36,
VA04,,17,37,
VA05,,17,38,
VA06,,17,39,
VA07,,18,35,
VA08,,18,36,
VA09,,18,37,
VA10,,18,38,
VA11,,18,39,
VT,VT,4,46,
VT00,,5,46,
WA,WA,9,6,
WA01,,10,4,
WA02,,10,5,
WA03,,10,6,
WA04,,10,7,
WA05,,10,8,
WA06,,11,4,
WA07,,11,5,
WA08,,11,6,
WA09,,11,7,
WA10,,11,8,
WI,WI,12,24,
WI01,,10,24,
WI02,,10,25,
WI03,,10,26,
WI04,,11,24,
WI05,,11,25,
WI06,,11,26,
WI07,,12,25,
WI08,,12,26,
WV,WV,18,33,
WV01,,17,32,
WV02,,17,33,
WV03,,18,32,
WY,WY,12,12,
WY00,,12,13,
