DATE,RPI
1/1/86,6735.168
12/1/85,6740.49
11/1/85,6700.594
10/1/85,6691.188
9/1/85,6659.992
8/1/85,6630.286
7/1/85,6631.242
6/1/85,6622.233
5/1/85,6599.63
4/1/85,6586.311
3/1/85,6599.497
2/1/85,6572.359
1/1/85,6567.925
12/1/84,6575.394
11/1/84,6531.463
10/1/84,6497.46
9/1/84,6516.671
8/1/84,6467.299
7/1/84,6425.319
6/1/84,6410.838
5/1/84,6362.997
4/1/84,6348.649
3/1/84,6307.802
2/1/84,6269.564
1/1/84,6233.483
12/1/83,6211.241
11/1/83,6155.976
10/1/83,6106.583
9/1/83,6048.055
8/1/83,6006.539
7/1/83,6014.919
6/1/83,5997.726
5/1/83,5989.507
4/1/83,5959.171
3/1/83,5954.811
2/1/83,5926.834
1/1/83,5923.289
12/1/82,5931.099
11/1/82,5901.59
10/1/82,5879.71
9/1/82,5884.253
8/1/82,5887.554
7/1/82,5876.687
6/1/82,5876.773
5/1/82,5897.009
4/1/82,5897.586
3/1/82,5857.186
2/1/82,5861.377
1/1/82,5836.665
12/1/81,5849.794
11/1/81,5853.283
10/1/81,5845.921
9/1/81,5867.422
8/1/81,5875.57
7/1/81,5852.929
6/1/81,5766.265
5/1/81,5734.39
4/1/81,5716.92
3/1/81,5726.877
2/1/81,5708.169
1/1/81,5723.536
12/1/80,5741.308
11/1/80,5712.978
10/1/80,5698.522
9/1/80,5649.242
8/1/80,5624.241
7/1/80,5612.095
6/1/80,5569.876
5/1/80,5556.087
4/1/80,5573.208
3/1/80,5579.985
2/1/80,5609.8
1/1/80,5636.095
12/1/79,5628.72
11/1/79,5615.144
10/1/79,5597.653
9/1/79,5597.929
8/1/79,5598.658
7/1/79,5590.025
6/1/79,5548.333
5/1/79,5551.228
4/1/79,5570.67
3/1/79,5615.462
2/1/79,5598.263
1/1/79,5576.221
12/1/78,5557.191
11/1/78,5525.875
10/1/78,5516.386
9/1/78,5496.064
8/1/78,5488.997
7/1/78,5464.134
6/1/78,5434.314
5/1/78,5414.64
4/1/78,5408.475
3/1/78,5377.624
2/1/78,5347.188
1/1/78,5323.379
12/1/77,5342.172
11/1/77,5318.495
10/1/77,5277.057
9/1/77,5231.769
8/1/77,5199.209
7/1/77,5178.98
6/1/77,5150.462
5/1/77,5142.384
4/1/77,5129.551
3/1/77,5107.63
2/1/77,5085.115
1/1/77,5068.733
12/1/76,5093.252
11/1/76,5077.738
10/1/76,5033.628
9/1/76,5035.24
8/1/76,5030.951
7/1/76,5016.851
6/1/76,4986.058
5/1/76,4978.637
4/1/76,4972.929
3/1/76,4953.855
2/1/76,4940.807
1/1/76,4912.199
12/1/75,4880.208
11/1/75,4873.038
10/1/75,4873.248
9/1/75,4850.581
8/1/75,4839.17
7/1/75,4803.336
6/1/75,4856.934
5/1/75,4773.677
4/1/75,4744.477
3/1/75,4738.979
2/1/75,4735.434
1/1/75,4737.819
12/1/74,4742.113
11/1/74,4744.999
10/1/74,4773.51
9/1/74,4757.995
8/1/74,4763.047
7/1/74,4771.126
6/1/74,4752.342
5/1/74,4755.549
4/1/74,4751.173
3/1/74,4753.937
2/1/74,4785.335
1/1/74,4814.161
12/1/73,4855.675
11/1/73,4868.696
10/1/73,4857.528
9/1/73,4815.397
8/1/73,4787.047
7/1/73,4801.198
6/1/73,4787.065
5/1/73,4773.72
4/1/73,4752.861
3/1/73,4743.883
2/1/73,4737.989
1/1/73,4720.721
12/1/72,4739.534
11/1/72,4722.097
10/1/72,4674.568
9/1/72,4569.31
8/1/72,4551.913
7/1/72,4510.1
6/1/72,4482.841
5/1/72,4470.496
4/1/72,4451.639
3/1/72,4445.608
2/1/72,4417.65
1/1/72,4382.043
12/1/71,4360.994
11/1/71,4338.304
10/1/71,4316.243
9/1/71,4304.337
8/1/71,4279.136
7/1/71,4264.623
6/1/71,4318.55
5/1/71,4239.009
4/1/71,4222.678
3/1/71,4211.518
2/1/71,4198.341
1/1/71,4190.089
12/1/70,4154.216
11/1/70,4140.164
10/1/70,4144.227
9/1/70,4158.636
8/1/70,4161.499
7/1/70,4150.913
6/1/70,4127.91
5/1/70,4115.037
4/1/70,4138.785
3/1/70,4097.828
2/1/70,4082.207
1/1/70,4072.107
12/1/69,4064.984
11/1/69,4056.411
10/1/69,4052.31
9/1/69,4044.791
8/1/69,4034.408
7/1/69,4009.539
6/1/69,3987.478
5/1/69,3973.995
4/1/69,3958.54
3/1/69,3948.849
2/1/69,3931.289
1/1/69,3912.863
12/1/68,3909.242
11/1/68,3893.558
10/1/68,3875.858
9/1/68,3869.307
8/1/68,3851.221
7/1/68,3833.692
6/1/68,3810.359
5/1/68,3792.778
4/1/68,3772.98
3/1/68,3756.106
2/1/68,3724.41
